WEM THE RECTORY,,,,,,,,,,,,
Grid ref,SJ507291,Long,-2.733623,Lat,52.857121,,,,,,,
Station no,RR6415,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.34,1.87,1.39,2.66,2.52,0.72,,,1.21,,,
February,3.13,1.61,1.26,1.46,3.13,0.81,,,1.32,,,
March,1.01,2.29,1.65,4.11,1.59,3.17,,,1.63,,,
April,0.79,2.11,1.76,1.34,0.87,1.47,,,2.10,,,
May,2.04,0.87,2.82,2.95,1.99,0.83,,,1.51,,,
June,2.34,2.19,1.97,1.13,1.02,2.59,,,2.48,,,
July,2.48,4.05,1.71,2.53,2.48,1.48,,,3.14,,,
August,4.68,2.15,3.03,4.43,4.60,4.02,,,2.26,,,
September,0.59,1.41,1.43,3.85,1.62,1.32,,,2.53,,,
October,3.76,2.34,3.52,5.76,0.76,1.28,,,1.92,,,
November,2.79,2.13,2.02,2.27,1.12,2.62,,,1.72,,,
December,3.51,4.63,2.41,1.64,1.60,0.50,,,1.87,,,
Total,29.46,27.65,24.97,34.13,23.30,20.81,29.60,30.00,23.69,29.60,,
Calc annual,29.46,27.65,24.97,34.13,23.30,20.81,0.00,0.00,23.69,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,29.60,30.00,0.00,29.60,,
