"CORBY WELDON GRANGE",,,,,,,,,,,,
Grid ref,SP964896,Long,-0.581480,Lat,52.495798,,,,,,,
Station no,RR4401,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.61,1.09,0.96,2.06,2.12,0.89,3.91,1.07,1.13,0.99,,
February,3.75,1.25,1.66,0.88,2.69,0.69,1.60,1.20,1.25,0.47,,
March,0.74,2.05,1.13,3.09,1.38,2.54,1.77,0.90,2.54,2.58,,
April,1.05,2.27,1.21,1.70,1.01,1.93,0.61,2.75,2.38,1.40,,
May,1.68,2.03,2.03,2.35,1.32,1.49,1.53,4.40,1.37,1.38,,
June,1.66,2.09,2.30,2.69,0.63,2.52,2.57,1.67,0.88,2.77,,
July,2.52,2.96,1.31,2.59,2.14,1.04,0.35,2.70,2.19,2.99,,
August,3.62,1.76,2.45,3.26,3.16,2.81,1.41,2.55,2.44,2.09,,
September,0.58,0.94,1.79,2.67,1.94,2.23,1.16,0.76,1.53,2.15,,
October,1.54,2.07,2.06,6.03,0.75,1.10,4.04,4.13,1.61,3.50,,
November,2.29,1.01,1.71,1.76,1.15,2.83,3.90,2.39,0.85,0.81,,
December,4.07,3.91,1.19,1.08,1.84,0.91,2.60,3.11,1.18,3.92,,
Total,27.11,23.43,19.80,30.16,20.13,20.98,25.45,27.63,19.35,25.05,,
Calc annual,27.11,23.43,19.80,30.16,20.13,20.98,25.45,27.63,19.35,25.05,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
