TIDESWELL-STANLEY-LODGE,,,,,,,,,,
Grid ref,SK175763,Long,-1.7389813,Lat,53.283388,Elevation,910,ft.,,
Station no,2681/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.64,4.54,1.45,4.27,,7.4,2.42,4.62,3.49,6.22
February,4.52,1.37,2.67,3.2,2.51,1.6,2.88,6.5,0.55,
March,5.9,2.6,2.13,3.4,3.93,1.98,2.87,2.91,1.96,2.29
April,2.22,3.37,3.16,0.38,1.47,1.84,0.4,1.4,3.6,1.87
May,2.72,3.1,2.38,2.91,4.73,-999,1.83,3.78,1.25,2.17
June,1.44,2.44,3.3,2.95,3.65,-999,1.58,5.1,1.48,1.25
July,1.43,1.74,3.69,3.47,0.43,4.69,3.92,5.84,2.46,5.44
August,5.26,2.1,4.4,5.49,0.25,7.15,6.42,2.6,0.88,4.36
September,2.18,3.3,2.15,4.47,1.68,3.75,7.75,3.87,0.07,4.97
October,1.1,5.72,2.14,5.4,3.8,2.7,2.91,3.59,3.17,5.9
November,10.15,3.51,2.25,6.95,2.48,1.37,2.36,1.05,5.08,5.54
December,5.37,4,2.2,6.45,3.89,5.85,4.44,4.73,5.88,4.22
Total,46.93,37.79,31.92,49.34,,42.91,39.78,45.99,29.87,
,,,,,,,,,,
NGR is from 1950s record and is Stanley Lodge. Altitudes match,,,,,,,,,,
