"DONCASTER WYNDTHORPE",,,,,,,,,,,,
Grid ref,SE640075,Long,-1.035281,Lat,53.560226,,,,,,,
Station no,RR4463,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.14,0.56,,
February,,,,,,,,,1.43,0.55,,
March,,,,,,,,,3.05,2.83,,
April,,,,,,,,,2.29,1.48,,
May,,,,,,,,,2.21,1.37,,
June,,,,,,,,,1.16,3.41,,
July,,,,,,,,,3.40,3.75,,
August,,,,,,,,,1.82,2.27,,
September,,,,,,,,,1.36,1.87,,
October,,,,,,,,,0.71,1.91,,
November,,,,,,,,,0.80,0.29,,
December,,,,,,,,,1.31,4.10,,
Total,,,,,,,,,20.68,24.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.68,24.39,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
