DONCASTER-WYNDTHORPE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE639073,Long,-1.036831,Lat,53.558441,Elevation,13,ft.,,,,,,,,,,,,
Station no,RR4463,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.14,0.56,1.48,1.08,3.01,2.74,1.09,2.17,0.46,2.67,1.21,
February,,,,,,,,,1.43,0.55,1.41,0.85,1.22,0.72,0.8,2.19,3.38,0.55,0.93,
March,,,,,,,,,3.05,2.83,0.5,1,2.21,1.83,1.53,1.02,4.01,1.29,0.94,
April,,,,,,,,,2.29,1.48,2.21,1,0.16,2.25,0.54,0.7,0.88,1.51,0.96,
May,,,,,,,,,2.21,1.37,1.71,0.71,2.52,1.63,1.55,1.39,3.01,2.09,2.17,
June,,,,,,,,,1.16,3.41,2.52,3.28,3.59,0.9,0.89,0.79,1.33,1.15,0.31,
July,,,,,,,,,3.4,3.75,2.84,0.14,4.04,0.43,3.34,4.73,0.96,0.97,3.19,
August,,,,,,,,,1.82,2.27,2.58,1.64,4.42,1.33,2.92,2.8,1.89,3.14,2.21,
September,,,,,,,,,1.36,1.87,0.24,2.01,1.22,6.57,0.61,1.01,2.12,0.67,3.49,
October,,,,,,,,,0.71,1.91,1.75,1.98,2.4,2.96,1.87,0.92,1.47,3.01,1.3,
November,,,,,,,,,0.8,0.29,2.84,2.23,2.36,1.94,1.94,2.03,2.4,0.84,1.1,
December,,,,,,,,,1.31,4.1,2.93,3.37,1.62,0.91,3.98,5.16,1.73,1.15,3.01,
Total,,,,,,,,,20.68,24.39,23.01,19.29,28.77,24.21,21.06,24.91,23.64,19.04,20.82,
,,,,,,,,,,,,,,,,,,,,
NGR is Wyndthorpe Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,
