CABRACH MANSE,,,,,,,,,,,,
Grid ref,NJ388269,Long,-3.018053,Lat,57.328514,,,,,,,
Station no,5662/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.68,2.56,2.14,2.81,1.66,3.72,2.66,4.39,4.06,5.13,,
February,4.62,1.85,2.84,3.33,4.83,2.89,1.71,5.37,0.47,2.95,,
March,3.11,2.91,0.59,2.89,2.36,2.65,2.73,3.51,1.26,1.65,,
April,4.02,1.80,2.84,1.59,0.89,1.98,1.52,2.69,2.38,2.28,,
May,1.70,2.29,2.52,6.00,4.11,0.51,2.74,4.07,1.41,1.05,,
June,3.49,2.79,4.65,3.50,1.70,3.27,3.35,3.22,2.09,2.60,,
July,4.05,2.04,3.90,3.34,2.55,5.64,8.58,6.77,3.62,3.23,,
August,4.54,5.09,1.64,3.13,1.15,5.98,6.85,3.33,1.36,6.80,,
September,1.16,5.00,2.76,2.63,2.59,3.80,3.45,2.84,0.69,2.69,,
October,1.05,4.46,1.21,5.80,6.94,4.49,2.61,2.48,5.06,10.73,,
November,10.13,4.60,2.15,5.94,1.88,2.01,4.02,1.01,8.26,5.05,,
December,2.01,4.66,2.76,5.24,9.14,4.04,5.24,4.60,4.93,2.27,,
Total,43.56,40.05,30.00,46.20,39.80,40.98,45.46,44.28,35.59,46.43,,
Calc annual,43.56,40.05,30.00,46.20,39.80,40.98,45.46,44.28,35.59,46.43,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
