WHINFELL HALL NEAR COCKERMOUTH,,,,,,,,,,,
Grid ref,NY150254,Long,-3.317771,Lat,54.616568,Elevation,267,ft,,,
Station no,RR127,,,,,,,,,,
,,,,,,,,,,,
,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,0.4,0.9,1.65,2.13,0.59,,,,,,
February,1.23,2.69,,4.31,,,,,,,
March,1.23,3.93,,4.04,2.58,,,,,,
April,4,4.61,1.77,1.86,2.96,,,,,,
May,2.35,4.98,1.13,1.65,2.67,,,,,,
June,3.29,5.08,3.68,2.58,,,,,,,
July,4.26,5.31,5.28,2.33,2.7,,,,,,
August,9.26,5.6,4.53,2.56,2.47,,,,,,
September,3.95,10.19,7.13,2.16,3.28,,,,,,
October,7.45,5.79,12.15,,4.05,,,,,,
November,3.57,8.38,,,,,,,,,
December,3.81,2.22,,,,,,,,,
Total,44.8,59.68,,,,,,,,,
,,,,,,,,,,,
Note: values removed as water was lost,,,,,,,,,,,
