COCKERMOUTH WHINFELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY150254,Long,-3.317771,Lat,54.616568,Elevation,267,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.15,4.89,4.65,9.04,8.38,3.29,5.83,8.71,3.4,4.73,9.69,5.12,5.9,7.15,5.82,4.37,9.95,10.68,6.39,6.36,2.84,10.15,5.21,1.42,1.47,0.68,4.53,8.69,6.71,3.56,5.51,4.9,2.73,3.57,7.03,3.53,4.35,2.3,6.02,2.51,2.77,0.92,4.28,8.53,6.23,3.59,4.39,7.14,6,2.51,7.9,2.8,7.14,5.14,5.31,3.64,3.83,4.32,4.77,5.52,6.85,2.44,6.81,5.55,6.29,8.69,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,4.82,4.07,0.97,4.85,2.52,7.29,1.66,3.79,2.52,4.02,6.08,3.66,6.42,8.46,5.07,4.71,5.23,0.72,4.55,1.43,4.89,4.8,3.43,2.72,5.74,3.72,4.98,6.42,6.54,9.22,1.7,3.43,1.47,3.23,1.3,0.43,2.07,6.16,7.16,0.37,3.23,3.26,4.9,3.33,5.53,2.21,1.04,7.96,4.53,3.72,4.15,3.01,4.3,4.27,8.99,6.82,2.98,3.82,8.15,9.22,6.01,1.62,6.16,0.54,4.04,0.45,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,0.14,4.19,3.82,7.61,6.99,7.66,3.9,1.84,4.34,2.4,3.83,2.37,8.79,0.61,2.56,3.33,4.55,3.51,3.97,1.6,4.36,3.13,2.47,4.59,2.27,4.4,4.2,3.03,5.86,4.57,5.06,1.26,4.08,3.25,3.58,1.84,1.79,1.92,3.06,4.31,6.98,6.76,1.98,3.58,0.53,2.94,3.6,10.9,4.45,4.87,3.43,6.1,4.98,4.46,4.57,1.84,8.12,6.73,5.74,4.03,1.55,3.26,2.49,4.5,8.45,8.62,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.48,2.26,2.65,5.14,2.56,0.92,6.03,4.51,2.28,0.45,1.89,5.52,3.44,3.1,2.85,2.43,1.98,0.4,2.03,1.48,2.67,2.27,1.77,1.81,3.46,1.32,4.36,2.68,1.58,3.93,3.28,4.02,2.47,2.34,1.44,1.81,1.47,0.73,1.71,2.92,2.52,2.71,5.04,4.68,2.36,2.95,2.8,2.49,3.5,4.8,1.53,4.37,1.63,3.27,3.83,5.49,1.15,6.17,2.18,3.51,5.06,3.5,0.71,3.86,4.26,1.21,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,3.04,2.22,3.61,0.17,3.46,1.52,4.49,3.93,2.42,7.73,2,2.38,2.92,2.45,5.55,1.24,3.76,2.16,1.06,3.1,0.69,4.61,2.84,1.92,1.68,4.02,3.3,2.65,5.06,3.35,5.26,2.36,2.55,3.09,3.16,3.03,5.17,2.35,3.93,1.66,0.68,2.91,3.51,4.41,2.17,2.15,2.77,2.94,3.12,3.08,6.02,4.82,3.14,2.17,3.43,5.13,2.56,3.09,3.65,1.8,3.57,3.35,2.11,0.95,5.67,3.57,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,5.37,4,2.05,2.79,6.87,2.87,5.55,5.77,4.24,0.64,2.72,1.65,1.89,2.16,1.52,1.75,6.03,3.09,1.26,4.35,4.58,4.48,2.77,4.38,3.77,6.19,4.67,4.58,2.13,1.86,1.51,0.63,1.14,0.9,5.73,1.35,3.84,2.48,3.31,1,3.62,3.7,3.27,1.33,3.31,2.85,1.71,1.85,2.02,2.47,2.42,7.04,3.26,2.74,2.01,6.17,6.22,5.75,2.03,0.95,3.72,2.93,2.28,3.14,1.86,0.67,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.68,2.86,4.32,2.69,2.15,5.53,3.76,1.32,1.98,2.52,4.36,4.77,1.03,2.14,0.95,3.38,3.78,7.07,2.34,3.47,3.19,5.78,0.88,6.88,4.06,5.2,7.8,2.81,5.35,4.07,5.4,4.08,6.4,2.36,4.97,2.45,2.64,4.5,3.29,5,4.68,2.55,0.87,3.3,2.29,1.07,3.06,5.25,4,1.47,3.4,2.59,4.67,8.16,5.51,1.31,5.42,0.71,6.6,5.23,4.83,1.23,3.78,1.33,7.19,3.61,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,4.62,2.84,4.15,4.73,5.46,8.66,5.1,4.37,4.09,4.31,5.37,4.27,6.02,2.28,2.03,3.82,4.01,6.1,9,4.24,4.5,6.96,3.84,5.05,1.6,7.02,3.9,4.14,2.48,3.13,3.2,2.46,3.86,5.86,5.02,11.54,8.11,5.09,6.44,7.46,3.44,6.91,7.15,1.55,10.17,5.88,3.51,7.14,4.82,3.53,7.1,6.51,8.7,3.7,7.53,3.56,6.29,3.62,4.14,2.73,2.97,8.26,3.88,4.34,3.04,7.34,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.05,5.96,8.1,6.61,1.89,6.21,2.59,9.99,7.21,2.23,9.11,6.27,2.39,10.6,5.22,2.6,8.4,3.12,7.38,6.66,4.27,3.56,7.05,6.26,6.38,1.68,3.92,5.43,6.76,7.43,8.9,6.31,2.63,3.82,6.94,10,9.57,5.88,0.38,1.72,6.08,4.94,2.59,7.86,5.08,3.06,2.71,6.94,2.7,4.14,1.59,0.57,6.53,2.96,0.92,3.85,2.36,2.71,2.84,1.56,1.98,6.8,11.33,5.55,2.58,2.51,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.2,3.33,6.66,3.7,10.42,4.53,10.89,6.81,4.71,5.13,3.58,5.53,7.76,4.75,11.27,4.18,10.06,7.35,11.45,4.69,3.29,8.27,6.95,2.77,1.74,2.99,3.37,6.76,3.86,5.96,5.48,3.62,6.21,5.9,4.61,8.94,5.2,6.73,5.5,5.82,7.3,3.35,4.3,5.72,6.75,7.57,4.89,12.86,3.2,4.23,8.75,9.66,2.03,12.18,3.13,6.17,5.98,5.92,1.83,1.38,10.93,9.24,10.13,1.69,2.18,4.88,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
