SELLINDGE-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR103382,Long,1.0026013,Lat,51.10451,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,4.27,1.3,3.05,2.6,3.66,2.74,4.73,1.43,2.43,2.38,2.87,2.51,2.84,2,5.11,5.12,4.89,6.04,,,3.16,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.67,3.86,0.98,3.69,2.49,4.29,1.19,0.78,1.27,2.88,0.7,1.94,0.16,3.7,1.74,5.1,1.14,1.23,,,1.84,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.86,2.15,1.65,1.39,0.38,3.75,1.84,0.14,1.87,0.53,1.55,2.14,2.91,0.14,1.23,4.36,0.7,2.34,,,2.72,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,2.52,1.81,3.11,3.28,3.82,1.68,2.89,1.06,1.59,3.15,3.21,1.29,2.23,4,2.02,2.85,0.72,2.64,,1.39,1.14,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,0.59,3.23,3.61,2.25,1.7,0.75,3.6,1.93,3.86,1.99,3.24,2.37,1.05,1.68,0.39,2.97,2.98,1.21,,1.78,2.34,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.35,0.86,1.78,0.44,3.17,4.5,2.69,1.6,1.49,0.76,1.07,1.45,1.36,3.48,3.1,1.22,1.9,1.71,,0.82,0.11,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.96,0.88,4.13,4.04,1.81,5.09,1.06,1.42,3.36,3.02,3.96,1.4,1.55,0.45,4.86,1.27,2.86,2.15,,4.68,2.66,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.5,1.61,2.88,1.75,2.04,5.02,1.22,2.23,3.17,3.53,1.04,0.86,1.99,6.15,1.41,1.19,1.94,2.17,,5.03,1.86,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,4.52,1.67,2.7,3.08,0.73,3.45,0.28,0.81,4.44,1.82,2.3,4.76,2,3.72,2.82,2.89,2.71,2.16,,0.19,2.72,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.14,6.88,5.09,3.69,3.49,1.75,7.28,4.17,1.85,0.77,8.31,1.67,2.17,4.43,2.72,2.57,3.95,11.91,,2.09,3.61,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
