KEMPSEY (VICARAGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SO853487,Long,-2.2152096,Lat,52.136797,Elevation,50,ft,,,,,,,,,,,,,
Station no,2399,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.37,1.15,4.31,1.53,2.24,1.6,2.19,0.81,3.29,3,2.89,5.16,3.99
February,,,,,,,,,2.15,0.68,0.68,1.78,0.16,2.55,0.39,1.44,2.58,4.03,0.53,1.1,2.46
March,,,,,,,,,3.33,0.05,2.19,0.13,1.29,2.1,2.05,0.6,2.42,2.84,0.2,1.36,1.52
April,,,,,,,,,1.17,1.02,2.66,3,3.42,1.06,2.45,3.99,1.93,2.04,0.08,2.24,2.52
May,,,,,,,,,1.02,1.66,1.98,4.09,7.58,2.15,0.86,1.45,0.88,2.71,1.65,1.05,2.73
June,,,,,,,,,2.22,1.27,0.73,3.72,1.41,2.1,0.52,2.99,4.99,1.08,1.18,2,0.69
July,,,,,,,,,1.17,2.04,3.33,2.95,1.84,1.55,0.29,0.38,5.17,2.75,2.73,3.95,2.78
August,,,,,,,,,1.92,1.52,2.63,4.42,3.03,0.55,2.04,1.29,0.26,0.43,2.67,1.87,0.11
September,,,,,,,,,0.81,0.51,4.52,2.05,3.25,1.57,2.17,3.76,2.93,2.59,1.49,1.18,1.11
October,,,,,,,,,4.5,4.17,2.38,0.71,3.35,3.58,0.97,3.35,1.42,2.34,2.57,2.95,3.59
November,,,,,,,,,2.78,7.61,3.27,3.5,1.4,0.63,1.68,5.07,2.18,1.55,2.74,3.86,6.14
December,,,,,,,,,2.07,5.83,3.61,0.8,1.12,0.44,4.72,3.5,2.66,2.03,3.45,1.62,1.46
Total,,,,,,,,,27.51,27.51,32.29,28.68,30.09,19.88,20.33,28.63,30.71,27.39,22.18,28.34,29.1
,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_16_pt1-page-267.csv NO DATA AS STATION TERMINATED FOR THE DURATION IN 1941,,,,,,,,,,,,,,,,,,,,,
"Kemsey Vicarage is marked on the OS 1888 6"" at SO847491, about 300ft N of the church.",,,,,,,,,,,,,,,,,,,,,
Location on records gives Kempsey church 1/2 mile NNW - this is taken to be the NGR for the location,,,,,,,,,,,,,,,,,,,,,
There is an Old Vicarage Close at SO853487 with the Old Vicarage a listed building there too; this fits with the distance from the church on the record,,,,,,,,,,,,,,,,,,,,,
