KEMPSEY DRAYCOTT HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO853482,Long,-2.2161689,Lat,52.131905,Elevation,50,ft,,,,,,,,,,,,
Station no,2399,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.7,1.84,1.22,2.58,,,3.9,0.95,0.8,1.08,2.75,1,4.62,4.25,0.63,2.45,,,,
February,4.6,0.93,1.23,1.82,,,1.56,1.01,1.2,0.35,3.24,1.46,1.79,1.04,1.65,,,,,
March,1.14,2.02,1.55,3.45,,,1.21,0.62,2.78,2.5,0.75,1.77,3.53,4.24,2.87,,,,,
April,0.99,2.23,2.43,1.56,,,1.7,2.06,3.13,1.88,2.33,1.19,0.1,3.51,1.41,,,,,
May,2.44,0.92,2.43,5.07,,,3.21,2.76,2.21,1.02,1.34,0.58,3.08,2.74,1.1,,,,,
June,1.84,1.37,2.63,3.96,,,3.38,2.47,1.55,3.51,4.19,2.34,3.88,0.57,3.54,,,,,
July,1.81,3.87,1.37,3.95,,,0.96,2.27,2.19,2.6,2.06,0.29,4.11,0.74,3.34,,,,,
August,4.05,2.21,3.68,3.54,,,0.83,2.3,2.96,1.69,5.95,1.54,8.16,1.41,1.36,,,,,
September,0.76,1.35,1.47,2.55,,,0.67,0.25,2.14,3.34,0.67,1.34,0.6,2.3,1,,,,,
October,2.52,1.62,2.48,6.24,,,4.54,6.52,2.13,3.01,3.18,1.87,3.02,3.04,1.48,,,,,
November,1.92,0.95,2.23,1.38,,,2.67,1.98,1.2,1.02,4.21,2.58,1.5,2.67,2.41,,,,,
December,5.81,3.47,1.67,1.29,,,1.86,3.99,2.08,3.65,4.56,5.73,3.27,0.92,5.4,,,,,
Total,31.58,22.78,24.39,37.39,,,26.49,27.18,24.37,25.65,35.23,21.69,37.66,27.43,26.19,,,,,
