GREENFIELD UPPERWOOD MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE031063,Long,-1.95468,Lat,53.55332,Elevation,1518,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3098/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,6.74,5.3,2.97,3.52,2.29,3.42,5.4,5.92,8.22,2.54,3.95,6.52,6.95,7.62,5.92,6.64,4.33,12.6,3.75,4.21,6.06,6.32,2.98,5.33,4.67,7.97,5.4,5.82,5.2,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,6.72,0.45,5.17,0.44,5.08,2.99,8.65,2.45,5.23,3.72,7.37,1.96,3.61,3.31,6.14,8.04,2.5,3.74,3.83,6.23,4.84,2.38,2.89,4.32,3.03,2.91,4.15,7.46,0.78,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.26,3,3.38,2.9,2.4,3.16,4.48,2.05,3.99,4.41,6.2,4.28,2.29,0.94,1.59,2.48,8.2,1.72,2.35,3.1,6.85,3.55,2.85,3.56,3.6,1.71,4.73,3.68,3.14,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,5.22,4.38,2.17,3.35,3.58,2.82,3.83,0.71,3.47,4.2,4.27,2.88,2.98,3.2,3.01,2.7,4.97,2.59,5.18,5.08,3.54,4.36,3.97,1.2,2.75,3.73,1.24,1.88,5.31,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.17,5.12,1.78,2.84,0.72,2.06,3.41,5.07,3.1,1.54,3.37,4.35,2.68,4.98,4.39,3.34,3.45,2.16,3.5,2.83,4.61,2.56,2.97,4.58,5.55,2.21,1.39,4.97,2.19,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,6.73,0.66,3.3,2.29,3.46,5.7,2.57,5.49,4.5,1.17,1.62,1.55,4.33,3.93,7.27,4.57,3.31,5.7,1.04,3.36,1.4,3.7,4.67,4.9,4.19,4.14,2.73,6.96,2.55,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,5.59,6.21,4.8,4.56,2.63,5.44,3.87,5.53,9.38,5.82,3.59,6.14,2.89,4.4,2.53,7.68,3.28,3.3,3.34,4.55,4.56,4.13,9.36,7.9,1.27,9.03,6.43,5.42,4.61,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,7.64,2.38,2.08,3.55,1.98,3.53,1.92,4.39,2.65,3.16,8.91,6.11,7.4,,5.12,6.03,0.35,4.86,4.33,5.52,7.81,4.46,5.62,8.65,0.52,13.56,7.08,6.03,0.62,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,6.17,6.16,2.47,3.36,6.05,6.92,2.18,2.84,1.69,5.54,0.91,3.82,5.19,,3.42,8.96,3.5,3.23,2.37,8.3,3.35,5.2,3.66,6.78,3.27,5.93,8.55,6.68,0.39,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,3.19,8.15,5.53,5.87,10.19,5.82,3.73,10.44,4.29,5.45,6.51,7.95,3.02,,7.34,2.05,1.83,3.11,4.86,3.75,1.24,6.93,2.52,8.81,3.13,3.37,7.32,4.89,4.68,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,7.61,3.99,2.99,3.37,7.11,6.82,3.13,5.48,8.05,10.05,3.11,1.32,4.26,,1.33,10.61,8.7,2.83,9.1,8.23,10.34,3.69,5.1,7.5,2.36,2.44,3.87,2.02,5.54,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,2.29,2.33,0.64,6.03,3.14,4.29,4.41,4.96,4.56,6.23,3.39,4.69,3.16,,3.59,4.66,6.37,5.23,8.91,4.05,7.96,4.79,2.54,8.76,6.17,5.85,6.06,5.67,8.21,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,61.33,48.13,37.28,42.08,48.63,52.97,47.58,55.33,59.13,53.83,53.2,51.57,48.76,,51.65,67.76,50.79,51.07,52.56,59.21,62.56,52.07,49.13,72.29,40.51,62.85,58.95,61.48,43.22,66.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
