RAITHBY HALL GARDENS,,,,,,,,,,,,
Grid ref,TF374670,Long,0.055,Lat,53.182,Elevation,200,ft,,,,
Station no,2563/5,,,,,,,,,,,
,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
January,3.77,2.35,4.13,2.41,2.29,2.54,5.38,2.37,2.92,2.23,,-999.00
February,2.58,0.77,0.64,2.66,2.11,0.92,0.70,2.26,2.44,2.10,,-999.00
March,2.76,0.16,2.31,1.78,2.91,1.09,0.56,0.27,0.85,1.06,,0.45
April,3.00,0.26,1.57,1.33,0.71,0.54,1.33,2.20,1.97,1.33,,1.24
May,3.75,2.50,0.80,1.02,1.90,2.85,2.16,2.10,1.34,1.55,,2.39
June,1.23,1.11,3.03,0.67,0.30,0.71,2.47,1.59,1.63,3.14,,-999.00
July,1.73,3.38,3.10,6.07,3.70,2.41,1.65,2.38,1.52,3.11,,-999.00
August,1.41,3.54,1.24,0.94,4.69,1.60,2.37,2.89,2.88,4.81,,3.58
September,1.22,3.16,1.61,1.16,0.79,1.42,2.09,4.52,1.05,3.85,,2.50
October,1.44,3.36,4.59,3.44,3.23,2.40,1.05,3.10,2.28,2.07,,1.73
November,1.96,2.73,4.71,4.47,3.29,1.95,2.64,3.41,1.12,5.05,,-999.00
December,2.28,,2.83,1.97,0.74,1.51,0.79,1.14,2.28,2.58,,-999.00
Total,27.13,,30.56,27.92,26.66,19.94,23.19,28.23,22.28,32.88,,25.09
,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/154,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/241,,,,,,,,,,,,
,,,,,,,,,,,,
# The December 1938 reading is an estimate and has been omitted.,,,,,,,,,,,,
"# The readings for January/February, June/July and November/December 1948 are apportioned.",,,,,,,,,,,,
# The reading for August 1948 is part estimated and has been retained.,,,,,,,,,,,,
#,,,,,,,,,,,,
"# The grid reference on the 1950s sheet seems to have a typo, placing that grid reference 1km to the west of the actual location.",,,,,,,,,,,,
