GUILDFORD-RGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ000496,Long,-0.568969,Lat,51.236829,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.25,3.66,1.49,2.37,5.53,3.42,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.97,0.67,2.98,3.47,0.59,4.79,1.03,0.99,3.17,4.85,3.08,2.38,3.72,1.51,2.14,2.07,4.26,2.48,3.85,1.35,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.2,3,2.37,1.26,1.51,2.23,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,3.13,1.15,2.12,0.71,4.05,5.36,4.91,0.93,1.15,2.19,0.29,0.28,2.31,4.6,0.46,4.28,2.51,5.05,1.93,0.59,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.3,1.56,1.88,1.14,2.58,2.26,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,1.18,1.69,3.42,2.55,4.54,0.63,4.5,1.88,0.84,3.9,1.16,1.03,2.04,3.82,1.16,0.56,0.32,3.63,2.21,0.04,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.15,1.9,0.33,3.18,1.29,0.41,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,1.27,1.63,0,2.34,1.18,1.26,0.94,2.11,3.12,2.17,3.26,1.09,2.64,2.31,3.12,3.06,2.79,2.37,2.71,0.77,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.24,1.08,3.46,0.69,0.28,3.02,1.34,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.31,0.98,1.2,1.98,1.1,3.43,1.04,1.14,1.87,0.3,0.72,1.29,0.88,3.17,3,2.58,1.44,1.14,2.29,2.26,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.62,0.22,1.01,0.76,2.84,2.23,1.59,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,2.66,1.74,3.08,0.58,0.73,0.91,1.71,1.72,0.72,0.69,2.21,0.08,0.76,0.34,2.76,0.04,3.11,3.99,2.28,1.48,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,4.33,2.81,0.82,0.88,3.9,2.5,2.28,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,1.55,0.93,1.43,1.98,1.66,4.36,1.17,3.83,3.93,2.49,4.69,0.53,4.5,1.5,4.01,3.55,1.43,1.45,2.37,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.16,1.49,1.74,1.1,1.73,2.75,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,2.96,0.75,5.8,1.82,0.98,1.34,4.66,4.12,0.55,2.54,1.75,1.2,2.35,1.98,2.57,4,0.75,3.76,1.93,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.42,5.1,1.83,5.91,1.2,2.56,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,0.51,1.04,3.38,2.66,0.86,1.73,1.39,1.3,4.47,2.08,2.14,0.95,1.8,1.35,4.47,3.22,1.91,4.95,1.62,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.23,1.93,3.13,1.47,5.31,2.76,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72,3.98,3.28,2.76,4.21,1.74,2.56,4.37,3.21,1.1,0.64,0.53,0.64,1.7,5.12,3.07,2.6,2.56,1.9,5.66,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
