"SHERINGHAM HALL",,,,,,,,,,,,
Grid ref,TG133423,Long,1.172535,Lat,52.935696,,,,,,,
Station no,1449,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.72,2.86,,,,,,,,,,
February,2.19,1.03,,,,,,,,,,
March,3.29,2.13,,,,,,,,,,
April,3.23,2.21,,,,,,,,,,
May,2.07,1.13,,,,,,,,,,
June,1.65,0.81,,,,,,,,,,
July,2.25,1.20,,,,,,,,,,
August,3.50,1.83,,,,,,,,,,
September,1.92,2.71,,,,,,,,,,
October,0.75,2.27,,,,,,,,,,
November,3.41,4.35,,,,,,,,,,
December,1.16,2.81,,,,,,,,,,
Total,28.14,25.34,,,,,,,,,,
Calc annual,28.14,25.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
