BUTCOMBE-CHOLWELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST519620,Long,-2.692137,Lat,51.355026,Elevation,370,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.43,3.89,6.86,1.43,4.05,2.86,0.93,3.65,5.53,5.39,3.84,4.27,2.88,5.28,3.96,5.99,4.19,6.74,1.5,5.63,2.85,5.17,3.43,3.04,0.82,3.87,5.27,4.89,5.17,2.63,3.75,3.66,6.07,2.35,2.43,3.25,2.74,7.47,1.12,0.84,3.15,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,2.57,3.75,1.03,4.81,5.19,6.58,1.46,2.43,3.15,1.42,0.36,5.77,9.9,0.66,5.66,2.16,3.92,3.21,1.41,0.72,2.5,0,4.54,0.49,3.27,2.85,5.99,1.46,2.07,2.91,3.3,0.18,1.87,0.77,3.4,3.11,1.42,2.23,1.94,6.59,4.86,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.04,3.65,5.19,4.73,5.44,1.37,4.63,3.18,1.31,4.54,2.91,2.6,3.47,1.88,2.2,0.43,0.97,3.86,3.19,0.33,2.19,0.83,2.7,4.17,2.39,0.9,2.63,3.95,0.34,1.7,3.14,3.81,2.33,1.09,0.44,1.18,1.12,6.65,1.89,1.51,1.75,3.98,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,3.23,2.59,0.32,3.82,2.18,1.64,1.59,2.36,3.14,2.29,5.52,1.14,3.34,3.48,3.8,2.13,3.2,1.7,1.46,0.93,2.39,2.54,3.48,1.35,2.63,4.55,2.92,2.84,0.29,3.55,2.08,1.04,0.79,1.2,2.68,1.05,2.19,3.03,1.87,2.04,3.12,4.52,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.02,1.23,2.56,3.3,1.78,3.36,3.84,2.15,1.72,0.61,2.26,2.46,1.37,2.26,4.65,5.18,2.28,1.39,0.96,2.51,1.63,3.66,5.18,2.13,1.62,1.09,1.66,2.54,2.23,1.09,2.8,1.53,5.82,2.96,1.2,3.64,4.72,3.23,4.62,4.2,2.46,2.76,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,4.84,3.16,5.35,2,1.77,1.06,2.82,3.58,1.47,1.38,3.76,0.22,1.94,0.79,3.41,0.02,2.39,3.87,2.52,1.77,0.56,3.22,1.84,1.21,1.7,4.31,3.21,1.45,1.32,2.21,0.49,2.92,0.34,1.64,3.01,4.03,4.14,2.28,2.57,0.45,2.05,0.88,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.51,0.72,4.15,0.94,5.01,5.54,1.06,2.35,6.16,2.26,6.51,0.8,4.64,2.84,4.23,4.64,3.29,6.01,3.74,1.57,2.58,4.28,3.42,2.01,1.55,0.77,5.85,4.08,3.3,4.9,6.12,1.74,2.41,2.51,2.26,1.78,1.96,2.73,1.93,1.04,5.85,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,7.64,1.71,8.26,1.73,3.33,3.01,5.4,9.05,2.86,3.49,1.77,2.41,4.24,3.61,6.54,5.4,3.16,5.63,4.2,5.41,6.13,4.07,1.53,2.95,3.6,1.69,0.42,1.4,4,3.01,0.15,5.97,4.27,4.6,2.93,2.9,5.24,1.21,5.67,2.65,7.31,6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.32,1.82,0.64,3.35,1.81,2.28,2.15,3.56,10.06,1.56,2.22,2.89,3.32,4.55,3.44,4.06,2.57,6.65,1.38,0.67,4.22,1.7,6.31,2.3,2.43,6.95,3.63,2.38,3.23,1.26,2.34,0.33,1.9,2.65,3.7,2.27,5.83,2.24,3.08,2.48,6.27,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.54,3.13,5.45,3.17,2.49,4.59,7.75,7.46,1.99,2.46,3.25,1.63,1.45,6.05,6.27,5.38,5.79,3.67,7.07,7.15,3.57,1.31,7.18,2.92,3.24,6.53,1.82,3.75,7.47,3.41,3.99,1.68,4.7,3.59,5.16,3.81,1.33,0.64,5.18,6.69,1.93,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,6.24,4.95,2.53,4.01,4.35,2.17,4.02,1.3,2.54,2.5,2.25,2.59,2.58,4.48,3.42,2.85,8.55,3.51,3.39,10.23,4.92,4.95,2.07,0.72,1.6,7.35,4.59,1.92,6.03,8.19,9.56,2.28,1.58,2.6,6.7,0.72,6.23,3.2,2.24,4.69,7.64,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,7.41,8.63,6.9,2.86,7.07,7.43,4.66,0.7,5.21,7.75,3.53,2.74,6.1,4.38,4.93,4.19,0.64,3.45,4.3,8.74,4.09,1.61,3.19,1.46,8.55,4.7,3.37,1.93,3.64,2.67,1.93,2.22,3.9,2.32,3.57,6.37,4.48,3.17,5.85,2.57,2.35,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,36.59,48.99,37.8,41.47,41.69,47.36,38.08,42.54,37.52,40.79,23.68,42.49,47.1,48.83,43.9,40.99,47.85,42.16,42.22,38.63,33.52,42.07,29.19,32.84,42.93,36.82,37.5,38.2,39.23,38.14,30.57,31.88,33.1,34.77,33.58,43.6,32.54,44.6,31.38,48.16,43.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
