BUXTON-AXE-EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK034701,Long,-1.951,Lat,53.228,Elevation,1620,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,2.8,2.65,1.31,4.8,2.4,5.7,4.2,1.9,5.18,6.18,1.37,1.2,0.25,4.1,,,,,,,
February,,,,,,,,,,6.25,1.83,3,4.6,0.48,3.02,1.1,3.74,6.96,2.13,3.33,7,5.35,3.9,,,,,,,
March,,,,,,,,,,1.39,3.85,1,4,1.9,3.8,0.67,3.58,3.08,3.8,1.1,4.35,4.11,2.5,,,,,,,
April,,,,,,,,,,3.1,3.16,3.55,2.93,1.1,1.35,1.15,4.58,3.35,3.72,3.4,3.2,2,4.5,,,,,,,
May,,,,,,,,,,4.35,1.95,2.88,4.05,3.25,1.75,1.7,1.85,3.76,5.95,3.3,2.25,4.2,0.95,,,,,,,
June,,,,,,,,,,2.52,2.44,3.5,6.5,2.5,1.32,3.7,4.58,2.52,4.05,6.5,4.05,3.2,7.7,,,,,,,
July,,,,,,,,,,1.1,2,4.65,4.23,3.6,2,6.54,2.26,4.9,1.7,5.95,6,3.3,6,,,,,,,
August,,,,,,,,,,4.1,2.28,2.36,3.35,5.86,5.45,4.78,4.16,5.26,5.43,8.66,2.1,4.6,4.2,,,,,,,
September,,,,,,,,,2.43,7.4,3.8,4.8,6.45,3.8,3.57,1.44,5.74,3.12,4.35,4.1,6.25,1,1.5,,,,,,,
October,,,,,,,,,6,2.3,10.22,5,6.67,5.84,4.41,5.56,3.01,4.53,4.35,2.57,2.3,5.5,5.2,,,,,,,
November,,,,,,,,,2.7,7.04,2.45,1.6,4.3,2.75,4.5,4.54,5.74,4.35,4.8,2,3.18,6.2,8.6,,,,,,,
December,,,,,,,,,3.3,5.1,2.15,2.7,2.74,2.53,4.1,2.45,3.25,4.15,1.23,5.3,6,4.6,6.8,,,,,,,
Total,,,,,,,,,,47.45,38.78,36.35,54.62,36.01,40.97,37.83,44.39,51.16,47.69,47.58,47.88,44.31,55.95,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inspection details in the British Association 1873 Report give the location as 'on the level surface of the moor, about 600 feet above Buxton and 3 miles SW of it.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
