HAWICK GOLDIELANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT478129,Long,-2.8258,Lat,55.4075,Elevation,534,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,3.3,7.3,1.9,2.2,6.9,3.6,6.1,4.8,3.5,3.7,6.1,7.62,3,5.6,1.45,8.88,3.6,0.87,1.25,,,,,,,,,
February,,,1.5,2.1,2.1,1.6,5.1,2.4,4.8,5.2,2.5,4.8,4,1.35,2.2,1.2,4.7,2.48,1.56,2.48,3.5,,,,,,,,,
March,,,5,1.4,4.2,1.2,2.35,2.7,5,1.1,0.9,2.9,2.5,1.65,2,1.1,4.14,1.7,0.65,2.9,1.53,,,,,,,,,
April,,,3.2,3.7,1,0.8,2.1,4.1,3.8,1.05,0.8,4,2.4,0.33,2.52,0.92,3.94,3.92,1.65,1.42,3.05,,,,,,,,,
May,,,3.7,2.05,1.3,7.2,1.3,2.4,2,2.7,2.6,0.6,3.3,1.76,1.46,1.35,1.03,3.1,3.63,1.63,1.08,,,,,,,,,
June,,,4.1,5.4,1.6,0.2,1.4,1.5,1.2,0.9,1.3,3.1,2.6,1.31,0.56,2.6,3.15,1.82,2.7,5,1.08,,,,,,,,,
July,,,3.2,1.1,1.2,2.5,4.55,7.05,0.4,0.7,2.5,4,4.8,4.67,1.77,2.83,1.23,5.02,0.6,4.69,5.22,,,,,,,,,
August,,,5.1,4.7,1,4.45,4.32,2.3,5.1,1,0.9,1.7,4.1,4.3,,2.77,4.86,9.3,4.62,3.24,0.73,,,,,,,,,
September,,,3,4.6,4.6,1,4.3,2.2,4.4,6.6,2.2,1.9,3.7,2.53,,4.15,2.16,2.42,3.32,2.73,4.73,,,,,,,,,
October,,,8,3.4,7.3,5.4,1.8,2.2,2.6,2.1,4.6,3.2,5.1,4.54,7.32,2.95,3.25,5.02,2.63,1.18,3.03,,,,,,,,,
November,,,1.1,3.4,4,3.2,3.7,0.3,2.6,2.5,1.3,2.2,5.5,2.56,4.7,4.4,3.22,5.32,3.82,1.96,5.48,,,,,,,,,
December,,,4.2,3.6,3.2,4.2,4.1,1.4,8.6,6.3,1.7,3.5,4.7,1.35,,3.48,8.14,2.1,1.85,2.36,3.81,,,,,,,,,
Total,,,45.4,42.75,33.4,33.95,41.92,32.15,46.6,34.95,24.8,35.6,48.8,33.97,,33.35,41.27,51.08,30.63,30.46,34.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1874 Aug, Sep, Dec estimated so removed along with year's total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
