OLD-HUMBERSTONE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK623059,Long,-1.0806174,Lat,52.647268,Elevation,297,ft,,,,,,,,,,,,
Station no,RR7599,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.7,3.2,1,1.05,0.83,1.93,,,,,,,,,
February,,,,,,0.35,2.11,1,1.1,0.66,3.24,,,,,,,,,
March,,,,,,2.71,1.45,1.15,2.5,2.64,0.64,,,,,,,,,
April,,,,,,1.71,0.62,1.75,2.69,1.4,1.87,,,,,,,,,
May,,,,,,0.27,1.4,3.5,1.55,1.13,2.76,,,,,,,,,
June,,,,,,1.72,3.5,2.3,1.3,3.01,0.91,,,,,,,,,
July,,,,,,2.06,0.68,2.9,3.72,3.4,2.6,,,,,,,,,
August,,,,,,3.05,1.28,2.26,3.17,3.11,3.72,,,,,,,,,
September,,,,,,2.74,1.03,1,1.5,2.5,1.22,,,,,,,,,
October,,,,,,1.28,4.3,4.45,1.13,3.4,2.33,,,,,,,,,
November,,,,,,2.36,3.69,1.97,0.81,0.47,3.5,,,,,,,,,
December,,,,,,0.73,2.5,2.83,1.6,,4.64,,,,,,,,,
Total,,,,,,19.68,25.76,26.11,22.12,,29.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1909 Dec estimated,,,,,,,,,,,,,,,,,,,,
