MACKWORTH,,,,,,,,,,
Grid ref,SK319362,Long,-1.5269737,Lat,52.922273,Elevation,293,ft.,,
Station no,2660/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.64
February,,,,,,,,,,1.84
March,,,,,,,,,,1.72
April,,,,,,,,,,1.3
May,,,,,,,,,,1.2
June,,,,,,,,,,2.17
July,,,,,,,,,,3.26
August,,,,,,,,,,4.62
September,,,,,,,,,,4.68
October,,,,,,,,,,4.94
November,,,,,,,,,,3.08
December,,,,,,,,,,3.05
Total,,,,,,,,,,36.5
,,,,,,,,,,
NGR is from the 1950s record. Altitudes match.,,,,,,,,,,
MIDAS src_id 547 uses same NGR and station continued to 1974.,,,,,,,,,,
"The observer is a headmaster and the notes refer to school buildings 500 ft N and E, cannot find these buildings near this NGR.",,,,,,,,,,
