HULL PEARSON PARK,,,,,,,,,,,,
Grid ref,TA084302,Long,-0.357314,Lat,53.756894,,,,,,,
Station no,3393,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.89,0.63,1.15,1.78,1.43,0.62,2.50,1.01,1.35,0.65,,
February,3.40,2.03,1.33,0.97,2.18,1.16,1.71,1.54,2.18,1.05,,
March,0.48,1.71,1.58,2.64,1.85,2.05,1.65,1.23,2.17,3.58,,
April,1.08,0.98,1.42,1.99,1.15,2.44,0.87,1.59,2.59,1.75,,
May,1.37,0.91,2.75,2.96,2.12,0.51,1.80,3.91,1.10,1.33,,
June,1.93,2.04,2.13,1.74,0.75,2.28,1.78,3.02,0.91,3.16,,
July,1.62,1.96,2.43,2.68,3.35,1.60,1.75,1.41,2.44,4.11,,
August,4.71,5.75,2.18,3.19,3.28,2.73,2.04,1.61,1.94,5.86,,
September,1.37,0.78,0.69,3.13,1.70,1.44,0.73,0.70,1.99,1.36,,
October,2.88,1.91,3.19,5.84,0.50,2.00,5.04,3.96,0.82,2.84,,
November,2.67,3.65,1.34,1.63,1.51,2.95,3.61,2.29,1.13,0.58,,
December,3.00,4.18,2.13,0.80,1.43,0.41,1.98,2.55,1.59,4.56,,
Total,27.40,26.53,22.32,29.35,21.25,20.19,25.46,24.82,20.21,30.83,,
Calc annual,27.40,26.53,22.32,29.35,21.25,20.19,25.46,24.82,20.21,30.83,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
