Rainfall at,HULL (PEARSON PARK)
,
Station no,3393,
,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,3.10,3.18,3.43,2.37,3.80,2.06,2.06,4.26,0.89,1.24,
February,2.99,1.41,0.26,2.27,1.62,2.34,3.07,1.10,0.54,3.61,
March,3.02,1.22,0.30,0.51,0.63,1.48,4.28,0.61,1.06,1.07,
April,0.98,1.03,1.14,2.67,1.86,1.78,1.46,2.05,2.19,2.49,
May,1.49,2.82,2.36,1.47,0.91,1.52,0.55,1.95,1.18,2.29,
June,0.26,1.57,1.57,2.04,2.20,2.32,1.97,4.64,0.41,1.58,
July,3.95,2.32,1.20,2.66,1.09,3.32,0.88,0.83,1.64,2.99,
August,2.51,1.65,2.78,2.94,2.20,4.11,0.69,3.47,1.70,4.48,
September,1.09,2.52,3.03,3.49,0.96,4.14,0.94,1.35,1.12,2.69,
October,2.87,1.33,1.23,2.22,2.13,1.69,0.59,1.34,2.18,1.10,
November,2.53,1.43,2.26,3.97,0.92,5.07,1.43,0.74,3.87,4.76,
December,0.61,2.01,1.14,1.49,1.22,2.39,2.12,2.25,2.64,2.61,
Total,25.40,-999.00,20.70,28.10,19.54,32.22,20.04,24.64,19.42,30.91,
Calc annual,25.40,22.49,20.70,28.10,19.54,32.22,20.04,24.59,19.42,30.91,
Difference,0.00,-1021.49,-0.00,0.00,0.00,-0.00,-0.00,0.05,0.00,-0.00,
