DALBEATTIE COLVEND MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX863545,Long,-3.773384,Lat,54.872301,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,6.3,3.5,7.96,3.56,2.23,0.95,0.51,2.35,5.8,5.15,2.9,3.6,2.36,2.35,3.5,5.21,1.81,2.57,0.65,3.71,0.91,2.65,1.48,5.32,6.04,4.39,2.71,,,,,,,,
February,,,,,,1.2,4,3.15,2.84,1.25,3.85,2.05,3.15,1.87,5.5,4.73,2.25,1.96,0.54,2.52,0.78,0.35,1.54,5.16,6.15,0.71,1.92,2.45,3.81,2.5,2.86,0.36,,,,,,,,
March,,,,,,0.7,3,2.6,0.95,2.15,2.3,4.74,4.23,1.52,3.84,2.3,4.17,1.32,1.92,2.74,2.9,1.8,1.14,1.92,1.64,2.68,3.1,5.24,1.62,4.19,0.24,2.21,,,,,,,,
April,,,,,,1.9,1.8,2.5,2.56,0.98,2.48,1.59,2.86,2.52,1.62,3.84,2,2.07,1.8,2.07,1.21,1.27,0.9,0.88,2.62,3.42,1.96,2.58,3.45,1.84,1.28,2.24,,,,,,,,
May,,,,,,1.7,0.35,2.75,3.2,2.05,1.25,3.47,1.2,2.3,3.05,1.8,5.01,1.1,1.34,2.74,4.11,0.27,3.81,3.08,3.81,0.54,0.54,2.39,2.32,3.95,2.5,1.06,,,,,,,,
June,,,,,,3.7,2.8,4.01,2.9,4.45,2.09,3.67,3.81,2.79,0.47,1.36,1.05,0.54,0.91,1.68,3.85,1.18,3.23,2.13,2.69,1.24,3.25,3.42,1.96,2.8,3.47,2.99,,,,,,,,
July,,,,,,2.1,3.55,4.04,0.4,5.08,4.09,4.27,5.3,1.81,3.66,2,3.5,3.78,4.97,2.7,3.15,2.01,2.62,1.58,1.8,5.28,5.62,1.19,0.46,2.81,2.25,2.33,,,,,,,,
August,,,,,,2.1,3,5.63,4.05,5.42,0.85,3.41,3.2,4.61,1.76,2.73,2.86,1.62,2.58,4.18,2.73,5.72,6.58,4.01,4.34,6.98,1.89,4.56,6.56,1.22,7.53,3.55,,,,,,,,
September,,,,,,1.9,4.75,2.56,3.23,4.16,2.9,2.78,3.17,4.48,3.44,7.86,5.01,4.77,1.03,2.28,2.59,6.48,5.28,2.53,0.13,0.92,6.45,2.52,3.52,3.96,3.3,2.8,,,,,,,,
October,,,,,,5,4.62,6.62,3.18,1.55,0.77,2.98,4.96,3.57,2.81,4.97,5.13,2.54,2.93,4.26,2.8,6.82,4.22,4.49,4.46,2.4,4.64,1.63,3.91,1.87,4.97,5.15,,,,,,,,
November,,,,,,4.5,2.9,8.48,1,1.14,4.3,4.83,5,5.64,2.72,2.79,3.71,1.3,6.29,2.8,7.5,4.62,3.13,1.52,5.79,5.28,0.67,5.22,4.85,3.7,5.26,3.65,,,,,,,,
December,,,,,,2.6,6,5.28,2.5,2.65,2.24,3.58,3.27,3.75,4.67,1.3,5.51,4.48,1.94,2.75,2.1,7.76,2.15,5.87,3.99,4.4,6.6,3.92,4.69,3.81,7.06,4.38,,,,,,,,
Total,,,,,,33.7,40.27,55.58,30.37,33.11,28.07,37.88,42.5,40.66,38.69,38.58,43.8,27.84,28.6,34.22,38.93,40.09,37.17,33.82,41.13,34.76,39.29,36.6,42.47,38.69,45.11,33.43,,,,,,,,
