AIRDRIE (BROOMKNOLL STREET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS762651,Long,-3.979673,Lat,55.863131,Elevation,402,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.25,1.94,3.83,2.52,3.87,4.78,4.08,2.25,2.3,2.67,2.86,2.22,4.96,2.16,3.94,3.01,4.67,6.66,5.88,3.7,3.11,3.56,4.13,4.73,7.32,1.15,4.44,2.92,8.08,3.17,3.39,1.8,4.05,2.99,5.37,4.43,1.98,0.99,5.13,3.64,3.89,2.7,3.76,3.3,6.37,3.47,2.2,3.68,2.88,1.7,3.87,2.39,2.08,4.62,3.08,1.17,3.03
February,,,,,1.85,2.18,2.35,2.61,2.09,2.37,3.58,5.4,2.26,2.26,3.57,3.81,4.81,1.03,4.16,1.1,4.54,0.76,2.75,3.37,0.53,3.21,4.34,2.13,4.01,1.55,0.19,3.3,0.03,3.07,0.28,3.43,2.62,4.46,1.01,4.31,1.36,2.98,1.2,3.6,1.19,3.9,2.52,1.1,3.6,3.73,3.75,1.91,0.95,1.29,2.75,1.8,1.61,2.75,2.54,1.36,2.82
March,,,,,1.58,3.87,3.29,3.62,4.04,4.18,1.75,1.56,3.8,4.38,4.61,1.89,2.42,2.24,1.35,2.16,3.33,4.68,2.16,1.21,0.66,2.09,2.52,2.85,2.73,0.79,1.91,1.07,1.87,1.74,2.77,1.88,2.09,1.2,2.66,2.99,3.63,2.97,1.44,1.84,0.97,2.24,2.14,2.8,2.53,1.56,3.46,3.39,2.08,0.94,2.12,1.76,2.49,3.33,1.3,1.33,1.73
April,,,,,4.66,2.31,1.38,1.6,1.57,3.75,3.87,2.15,1.62,2.93,1.95,2.18,3.73,1.86,0.44,1.98,1.8,1.33,1.7,3.94,2.1,3.94,2.15,2.81,1.12,1.52,1.05,1.97,2.48,1.82,4.25,2.65,1.28,1.34,0.41,1.53,2.54,1.35,1.73,2.01,1.95,1.8,1.05,4.18,2.69,2.72,2.83,2.25,1.87,2.38,1.65,1.3,0.86,1.52,1.56,2.3,2.12
May,,,,,3.08,1.55,4.9,3.78,2.44,2.82,1.85,1.26,1.4,3.16,2.56,1.25,5.47,2.69,2.54,0.62,3.93,2.02,3.38,2.58,4.64,4.75,3.6,1.81,1.91,2.31,1.38,3.09,2.4,2.12,2.3,0.54,0.74,1.6,3.78,0.9,1.37,4.59,2.42,4.18,2.58,3.52,1.5,3.13,1.54,1.56,1.36,2.02,1.26,1.89,3.28,2.97,1.78,2.11,3.3,0.95,2.44
June,,,,,1.31,1.09,1.46,3.85,1.83,2.35,2.08,1.66,5.06,2.33,0.77,2.52,3.43,2.64,1.15,3.22,1.54,0.49,1.94,0.97,1.7,0.71,2.71,3.56,4.16,2.42,2.32,5.25,0.96,1.93,2.34,3.24,1.38,2.97,3.86,2.32,1.03,0.7,1.44,3.91,2.32,4.01,2.69,2.99,5.87,0.84,2.35,3.23,2.14,1.52,3.04,1.89,2.82,2.57,3.06,2.71,2.06
July,,,,,3.05,3.68,2.44,2.74,3.4,3.99,3.98,2.7,2.54,1.19,3.24,3.78,3.76,2.72,3.39,0.98,3.93,3.31,3.5,5.6,3.01,1.76,3.75,2.97,2.2,3.1,4.54,3.86,3.08,4.09,2.95,1.95,4.16,3.19,3.46,3.45,4.8,3.25,2.12,2.1,2.63,3.21,4.1,2.26,2.56,2.35,4.57,3.68,2.25,4.37,3.37,1.37,5.03,3.25,4.84,4.45,3.53
August,,,,,3.88,2.89,5.33,4.97,3,3.18,5.5,2.14,4.63,1.74,3.37,3.68,4.32,5.09,3.47,2.62,4.78,6.24,2.66,6.84,3.95,3.78,2.65,6.62,3.64,5.11,4.74,3.23,1.21,2.86,4.3,2,3.31,3.25,2.75,1.44,1.78,4.17,3.52,4.58,4.12,2.2,2.68,0,6.22,4.33,3.82,5.2,3.49,2.57,6.06,1.27,4.35,4.1,4.53,0.55,2.32
September,,,,,2.88,1.86,1.94,1.02,4.81,2,1.1,1.73,2.6,2.33,1.68,1.43,1.34,2.15,5.41,3.01,2.56,2.39,2.76,4.61,3.17,3.55,3.96,6.7,2.93,1.35,3.73,1.03,4.94,1.24,3.6,4.49,4.75,1.33,3.46,2.46,3.49,0.92,3.8,2.02,4.84,5.58,6.33,3.33,5.55,1.33,8.32,2.77,2.01,3.15,4.73,2.88,4.6,2.37,3.34,1.16,2.27
October,,,,,1.27,2.49,6.19,7.74,1.49,5.15,1.87,3.22,3.69,1.93,1.75,2.32,5.99,4.41,3.52,1.34,1.33,5.38,1.81,4.72,3.38,2.52,5.03,4.23,5.51,3.73,5.15,3.08,5.66,2.42,5.09,7.88,3.5,3.57,7.1,2.03,2.82,3.25,5.07,5.59,4.35,4.67,0.41,1.31,4.45,5.79,2.56,0.87,3.02,1.92,9.34,2.8,2.55,3.13,2.67,3.65,2.54
November,,,,,2.25,3.98,4.42,1.85,2.77,2,2.74,5.22,3.39,4.75,4.75,1.13,3.23,7.05,3.16,5.2,3.19,2.1,1.95,4.12,2.13,0.74,5.5,3.3,3.3,5.37,4.51,6.06,2.54,1.89,1.1,4.26,3.48,0.51,5.99,5.74,4.33,2.3,0.67,1.7,6.55,0.58,4.55,4.62,2.5,3.21,3.2,6,2.38,6.27,5.75,1.66,1.23,2.15,1.57,4.76,4.53
December,,,,,3.49,3.1,3.13,4.43,1.67,4.62,3.16,3.71,5.3,3.8,5.13,5.52,4.49,2.31,3.73,5.39,3.85,6.31,3.31,2.88,4.56,3.01,1.74,0.96,3.06,7.83,2.23,2.65,6.77,0.63,3.01,1.84,3.77,2.07,1.78,1.27,3.62,1.5,2.79,1.22,4.23,2.82,2.38,2.81,4.1,6.53,2.03,4.82,3.19,4.05,5.5,5.7,3.74,3.37,4.9,4.37,4
Total,,,,,32.55,30.94,40.66,40.73,32.98,41.19,35.56,33,38.59,33.47,36.24,31.73,47.95,36.35,36.26,30.63,39.45,41.67,33.8,44.54,32.94,33.62,42.08,42.67,41.89,36.23,36.19,37.51,40.02,26.98,35.38,35.96,35.13,28.48,41.63,32.87,32.75,28.97,31.33,36.39,39.62,37.23,34.11,31.83,47.98,37.42,40.45,39.82,27.52,32.05,51.46,27.79,33.14,35.27,36.69,28.76,33.39
