DANBURY-PARK-GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL765048,Long,0.55347312,Lat,51.71416,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1287/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,0.94,1.6,1.88,1.1,1.39,1.4,1.52,,3.83,2.27,5.3,,2.39,,,,,,,,,
February,,,,,,,,,,0.84,1.02,1.72,0.31,0.93,0.14,1.87,,3.98,0.5,0.99,,1.78,,,,,,,,,
March,,,,,,,,,,0.02,1.3,0.28,1.21,1.54,1.95,0.44,,2.53,0.33,1.53,,2.66,,,,,,,,,
April,,,,,,,,,1.42,1.91,2.12,3.38,2.44,0.84,1.63,2.67,,2.74,0.42,2.99,,1.03,,,,,,,,,
May,,,,,,,,,2.65,1.56,2.38,2.74,3.61,1.58,0.49,1.01,,2.55,2.06,1.78,,1.14,,,,,,,,,
June,,,,,,,,,2,0.7,0.5,1.29,0.55,1.27,1.11,3.22,,2.42,0.67,1.29,,0.68,,,,,,,,,
July,,,,,,,,,1.4,2.07,2.68,3.01,2.74,0.95,2.06,0.89,,1.29,0.91,2.33,,3.41,,,,,,,,,
August,,,,,,,,,1.64,2.01,2.31,3.3,1.22,0.33,1.54,2.1,,0.77,1.45,4.29,,3.43,,,,,,,,,
September,,,,,,,,,0.64,0.26,3.22,1.34,2.12,2.13,1.38,4.14,,1.29,2.17,0.84,,0.27,,,,,,,,,
October,,,,,,,,,2.86,3.2,1.02,0.63,5.33,1.41,1.87,2.27,,1.53,2.59,7.49,,1.09,,,,,,,,,
November,,,,,,,,,1.81,5.48,3.85,1.87,1.03,1.11,1.53,4.24,,1.82,2.7,4.09,,2.31,,,,,,,,,
December,,,,,,,,,3.2,4.66,1.96,0.56,0.28,0.38,4.31,1.98,,4.17,2.78,1.34,,1.34,,,,,,,,,
Total,,,,,,,,,,23.65,23.96,22,21.94,13.86,19.41,26.35,,28.92,18.85,34.26,,21.53,,,,,,,,,
