CHORLEY CROOKE HALL WHITTLE LE WOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD576215,Long,-2.643513,Lat,53.688219,Elevation,265,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,4.32,3.63,4.22,1.73,6.25,3.3,1.34,0.49,0.8,2.91,4.83,4.59,1.99,4.99,2.72,1.65,1.36,2.71,2.25,3.45,1.41,3.26,2.55,1.57,1.22,3.7,5.07,5.09,2.44,3.69,2.86,3.52,,,,,
February,,,,0.71,1.62,0.77,3.65,4.18,1.44,2.82,2.34,4.56,2.26,2.66,3.1,2.97,0.79,1.34,1.08,2.3,0.87,0.11,2.59,4.25,5.2,0.29,1.13,3.11,2.93,1.84,3.22,1.86,1.62,3.49,3.97,,,,,
March,,,,3.94,3.98,0.98,3.36,3.7,1.37,1.43,2.57,2.84,4.15,1.04,2.82,2.95,2.53,1.88,2.99,2.27,3.11,1.42,0.99,1.22,3.09,3.23,5.28,3.66,1.9,1.73,0.73,3.36,2.74,3.8,2.24,,,,,
April,,,,0.48,2.15,1.04,2.81,2.05,1.75,1.95,1.21,1.75,4.45,2.01,1.11,1.86,2.21,1.61,1.65,2.1,1.41,1.53,1.8,0.3,1.37,2.26,1.56,2.8,1.45,4.5,2.03,2.36,2.59,1.91,2.44,,,,,
May,,,,2.66,1.74,2.35,0.69,3.49,4.24,2.21,2.36,4.11,2.77,0.61,1.64,1.65,4.98,2.15,0.62,3.48,2.31,3.44,4.04,2.38,3.07,1.56,0.81,2.28,3.29,2.64,2.03,0.75,3.19,3.55,1.91,,,,,
June,,,,2.42,0.85,3.57,3.3,2.29,3.27,4.16,3.41,2.82,4.48,3.94,1.71,2.72,1.85,0.87,2.2,1.12,3.34,2.01,3.52,1.84,3.68,1.3,2.86,4.92,3.99,1.86,1.54,1.8,1.53,1.92,2.49,,,,,
July,,,,4.46,2.53,5.83,4.17,5.92,1.08,5.22,5.36,4.93,6.81,2.6,4.6,1.72,4.93,1.69,7.14,3.13,3.68,2.81,1.95,4.03,4.44,4.42,3.13,1.79,0.59,3.15,2.5,1.55,3.68,3.23,1.39,,,,,
August,,,,4.65,5.25,2.19,3.73,6.81,4.34,8.18,1.82,4.98,4.41,2.45,2.18,2.13,1.98,1.68,3.98,6.46,5.54,9.42,6.11,3.13,5.75,4.44,2.94,5.27,6.35,1.86,6,2.84,3.1,5.79,4.8,,,,,
September,,,,2.91,3.53,4.57,4.11,4.17,5.19,3.32,4.09,2.02,2.48,5.07,3.33,4.26,4.48,5.67,1.61,4.27,2.95,3.87,4.76,5.09,0.92,1.45,6.14,5.55,1.34,5.9,2.83,1.15,1.73,4.66,1.35,,,,,
October,,,,6.16,6.44,4.03,2.56,4.93,5.49,2.39,3.3,2.95,3.11,4.52,2.52,5.12,5.37,1.98,2.59,3.43,4.59,4.41,4.98,6.56,3.29,5.19,4.89,2.42,3.76,3.46,6.35,3.69,4.75,7.22,2.94,,,,,
November,,,,2.74,4.67,3.56,3.96,5.6,2.82,0.86,4.36,4.61,5.34,4.04,1.14,3.22,2.93,1.64,5.07,2.04,7.53,4.06,3.04,2.49,3.92,3.49,1.67,3.2,3.9,2.33,3.8,4.91,1.91,3.64,2.99,,,,,
December,,,,1.27,3.16,1.52,4.36,4.25,2.67,2.6,5.42,4.31,3.13,2.72,4.74,2.11,5.54,2.44,2.25,3.49,0.54,6.21,3.25,4.69,3.64,3.45,4.72,5.12,3.94,3.18,4.53,3.66,3.29,2.85,3.42,,,,,
Total,,,,36.72,39.55,34.63,38.43,53.64,36.96,36.48,36.73,40.68,46.3,36.49,33.48,32.7,42.58,25.67,32.83,35.45,38.58,41.54,40.48,37.39,41.63,33.63,36.7,41.34,37.14,37.52,40.65,30.37,33.82,44.92,33.46,,,,,
