NEWTOWNARDS (SCRABO HILL),,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ477726,Long,-5.7153717,Lat,54.580323,Elevation,520,ft,,,,,,,,,,,,,
Station no,RR6109,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.89,2.36,1.67,2.77,3.92,4.38,5.48,3.7,2.58,4.21,2.96,4.21,3.93,,,
February,,,,,,3.97,2.75,1.85,3.5,1.64,2.34,0.57,3.26,4.83,0.83,3.41,3.28,2.16,,,
March,,,,,,0.71,1.18,1.56,1.07,2.8,2.53,2.53,1.34,1.71,1.39,0.88,0.92,2.48,,,
April,,,,,,1.9,2.3,1.18,1.18,1.23,2.8,0.88,3.48,2.93,2.71,3.57,1.76,1.4,,,
May,,,,,,1.35,6.1,3.8,3.41,1.7,3.15,2.39,2.08,1.11,4.68,4.68,2.57,1.32,,,
June,,,,,,1.58,2.23,2.21,1.36,3.49,2.9,0.33,2.01,0.78,2.97,0.45,1.77,3.51,,,
July,,,,,,4.59,2.54,2.89,3.61,0.29,3.14,4.57,3.98,3.15,3.72,4.06,2.81,3.59,,,
August,,,,,,2.98,2.28,4.64,3.95,2.96,3.02,3.2,3.51,5.3,3.83,1.82,3.01,4.73,,,
September,,,,,,1.6,0.8,2,4.43,2.71,3.44,1.77,2.7,3.98,5.71,3.61,2.2,5.18,,,
October,,,,,,3.81,6.26,5.46,3.58,2.3,6.04,3.43,1.11,3.25,2.43,3.2,3.33,3.39,,,
November,,,,,,1.96,2.72,3.4,3.18,2.32,2.42,4.21,1.19,3.18,3.51,1.5,4.03,5.49,,,
December,,,,,,4.91,2.36,2.33,4.17,6.88,4.94,2.41,2.94,3.8,3.66,3.38,1.22,2.48,,,
Total,,,,,,31.25,33.88,32.99,36.21,32.24,41.1,31.77,31.3,36.6,39.65,33.52,31.11,39.66,,,
