TRANENT TYNEHOLME,,,,,,,,,,
Grid ref,NT445687,Long,-2.8893401,Lat,55.908188,Elevation,284,ft,,
Station no,RR7376,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,1.22,1.17,3.78,0.78,1.45,6.35,0.8,3.1,,
February,2.33,1.88,1.78,1.83,2.5,1.28,0.75,1.35,,
March,1.1,0.65,3.64,1.85,1.1,1,5.7,2.1,,
April,0.2,4.46,2.49,0.7,0.94,0.6,2.94,2.3,,
May,0.82,0.67,4.35,2.8,1.98,0.7,0.88,2.4,,
June,2.07,2.7,3.55,0.9,2,2.13,2.16,1.75,,
July,1.15,3.2,4.42,4.3,2.35,3.1,1.4,4,,
August,1.15,1.85,4.65,3.7,4.2,1.15,3.4,5.4,,
September,1.53,2.9,5.53,2.82,1.6,2.73,4.3,1.25,,
October,2.44,2.43,3.91,3.2,2.25,2.38,2.1,2.45,,
November,1,3.55,4.4,2.77,3.27,5.02,3.5,2,,
December,2.35,1.88,2.28,0.8,2.9,1.33,4.3,1.3,,
Total,17.36,27.34,44.78,26.45,26.54,27.77,32.23,29.4,,
