DINSDALE RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ346111,Long,-1.466,Lat,54.4948,Elevation,54,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,0.6,1.94,3.56,2.37,3.08,1.45,,,,1.58,2.51,0.62,3.66,2.31,0.99,0.39,0.79,1.07,2.68,4.26,2.07,,,0.61,1.04,2.48,1.03,1.04,1.21,1.71,3.66,0.91,,,
February,,,,,,1.25,1.54,1.45,0.83,1.69,1.89,,,,1.27,0.85,2.06,1.42,0.88,3.14,1.84,3.35,0.74,2.07,1.45,1.27,,,1.4,1.18,1.04,0.04,1.37,2.13,2.77,0.93,0.39,,,
March,,,,,,1.34,2.37,2.19,1.49,1.82,1.82,,,,0.96,0.5,2.82,2.13,0.76,0.83,1.58,2.46,2.03,1.53,2.44,1.77,,,3.19,3.01,1.58,1.3,0.9,0.7,0.93,2.12,2.33,,,
April,,,,,,1.39,2.52,3.36,1.95,1.26,0.39,,,,0.69,1.06,2.44,3.55,1.89,2.38,2.13,0.91,4.67,2.06,2.38,1.89,,,2.88,2.1,0.72,2.32,1.54,0.38,1.62,1.69,0.49,,,
May,,,,,,2.75,0.82,2.32,1.25,3.27,0.87,,,,1.99,0.91,0.49,2.46,3.39,1.63,1.63,1,1.89,1.63,0.47,3.3,,,0.63,2.05,2.27,2.21,2.32,2.12,1.85,0.64,0.46,,,
June,,,,,,0.17,2.2,1.76,0.36,1.14,2.3,,,,0.09,0.43,2.6,1.31,2.66,3.75,1.52,3.09,5.65,2.86,0.43,2.45,,,2.4,0.22,1.57,0.44,3.43,0.69,3.79,2.1,2.51,,,
July,,,,,,1.32,4.68,2.95,1.32,0.81,0.68,,,,1.9,6.93,2.59,2.98,1.15,2.6,6.37,4.83,4.16,5.14,3.54,0.49,,,3.56,2.43,2.65,5.12,1.21,3.76,1.81,4.56,1.93,,,
August,,,,,,4.13,2.94,3.26,2.33,1.48,2.2,,,,3.11,1.85,1.67,5.38,5.11,4.18,2.06,7.18,3.13,2.01,1.08,2.03,,,1.83,3.78,4.62,4.19,4.04,2.03,1.9,2.11,1.64,,,
September,,,,,,0.27,4.23,1.75,3.14,3.35,0.69,,,,2,2.6,3.6,2.01,1.51,1.09,5,3.42,2.41,2.78,0.89,2.6,,,1.51,0.63,2.08,2.63,1.79,1.62,0.63,0.87,3.25,,,
October,,,,,,5.1,2.26,1.26,2.27,2.57,5.19,,,,2.08,3.62,2.65,2.62,1.58,0.72,5.45,2.8,2.86,2.24,1.82,3.59,,,0.46,5,1.63,2.71,5.05,1.35,4.77,3.13,3.72,,,
November,,,,,,2.91,1.58,0.85,1.85,2.47,2.52,,,,1.9,5.96,2.95,2.18,5.57,2.29,2.39,2.68,3.63,1.35,1.72,1.41,,,2.41,1.07,3.12,2.04,0.97,2.21,0.99,2.24,1.43,,,
December,,,,,,1.27,2.17,1.95,5.8,3.38,3.39,,,,2.96,1.67,5.42,1.95,3.25,0.5,4.4,3.29,4.79,1.49,2.37,0.88,,,1.02,1.56,1.32,2.68,0.98,2.13,1.48,1.69,3.48,,,
Total,,,,,,22.5,29.25,26.66,24.96,26.32,23.39,,,,20.53,28.89,29.91,31.65,30.06,24.1,34.76,35.8,37.03,27.84,22.85,23.75,,,21.9,24.07,25.08,26.71,24.64,20.33,24.25,25.74,22.54,,,
