"WOOLER (MIDDLETON HALL)",,,,,,,,,,,,
Grid ref,NT989255,Long,-2.018980,Lat,55.523244,,,,,,,
Station no,3598/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.36,,
February,,,,,,,,,,3.65,,
March,,,,,,,,,,1.50,,
April,,,,,,,,,,1.43,,
May,,,,,,,,,,2.66,,
June,,,,,,,,,,1.47,,
July,,,,,,,,,,3.99,,
August,,,,,,,,,,3.95,,
September,,,,,,,,,,2.39,,
October,,,,,,,,,,7.33,,
November,,,,,,,,,,2.90,,
December,,,,,,,,,,2.68,,
Total,,,,,,,,,,38.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.31,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
