WRAY CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY374009,Long,-2.9647,Lat,54.4005,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3030/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,5.53,13.74,15.32,10.87,8.42,1.38,6.43,6.5,5.32,10.7,10.87,6.08,7.9,9.11,7.28,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,11.27,6.98,10.07,2.27,4.12,1.94,6.31,5.35,0.82,5.97,3.98,8.11,1.39,4.34,5.13,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,1.69,4.71,0.4,2.55,4.08,4.38,0.86,5.01,3.83,7.98,8.12,9.96,5.78,2.83,5.57,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,5.69,2.93,1.38,4.38,1.23,2.99,2.51,2.68,4.33,5.35,2.24,1.64,7.55,4.92,1.96,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,3.58,1.74,4.85,0.7,3.51,1.81,3.56,3.07,3.23,0.32,4.34,1.29,4.77,4.9,2.35,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,3.07,6.11,6.2,2.91,4.9,2.8,5.43,3.49,2.05,2.11,7.28,3.68,5.91,4.73,4.2,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,4.92,6.69,4.66,6.91,2.8,5.46,2.47,3.53,5.56,2.12,1.89,8.76,6.7,1.2,3.98,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,5.08,8.07,5.05,7.71,4.39,5.68,5.64,6.13,2.34,4.74,5.61,7.69,9.53,4,5.44,3.53,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.68,3.08,2.73,2.41,4.67,4.3,1.33,3.95,3.74,7.17,9.23,2.3,7.88,3,9.67,7.59,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,10.07,5.67,8.87,4.47,7.55,6.39,8.97,4.03,4.5,6.74,4.86,11.79,4.37,14.45,6.8,3.49,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,8.41,9.67,2.1,9.63,6.96,5.83,3.3,1.61,3.86,3.3,6.32,3.81,14.44,2.77,7.89,7.26,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,4.63,7.8,4.25,18.65,0.41,12.16,3.56,8.58,6.55,7.05,7.63,5.14,5.17,10.5,6.51,8.72,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,70.04,65.9,85.75,54.57,63.42,43.56,51.87,50.62,54.14,68.2,69.45,80.91,74.72,68.34,61.06,54.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
