CLITHEROE BASHALL LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD693420,Long,-2.4684033,Lat,53.873288,Elevation,205,ft,,,,,,,,,,,,
Station no,RR2987,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,6.42,6.01,4.15,4.15,5.44,1.83,6.27,7.73,7.08,6.68,3.82,8.66,5.63,1.53
February,,,,,,,6.23,4.91,5.37,10.09,1.49,4.68,5.84,1.03,1.85,1.56,6.64,5.59,1.96,2.41
March,,,,,,,2.56,1.61,7.59,2.16,2.73,2.23,4.6,3.62,6.86,1.17,4.71,4.16,3.09,2.47
April,,,,,,,1.25,6.39,2.1,3.32,2.32,4.09,3.5,0.75,1.53,1.82,2.55,2.92,1.73,1.24
May,,,,,,,2.12,2.27,1.86,4.2,1.86,1.91,3.42,2.89,1.72,2.99,0.65,3.09,4.59,2.38
June,,,,,,,4.72,2.1,0.49,2.01,2.95,3.69,5.52,4.09,0.66,4.57,4.52,2.63,3.42,4.38
July,,,,,,,6.53,6.68,0.81,1.24,2.48,8.25,5.52,4.5,4.74,5.46,5.01,5.38,1.13,7.11
August,,,,,,,6.38,2.68,4.34,3.56,3.71,2.44,5.74,6.69,8.89,4.03,4.87,6.97,6.88,8.52
September,,,,,,,11.03,4.9,2.48,10.05,3.72,4.07,11.83,2.92,6.47,6.1,5.45,5.01,5.49,3.73
October,,,,,,,3.69,5.95,7.46,3.69,14.43,7.03,9.51,9.84,7.14,4.13,3.43,7.57,5.95,4.3
November,,,,,,,10.96,1.72,4.79,7,3.83,1.76,6.97,3.87,5.47,6.48,3.7,8.5,3.59,1.26
December,,,,,,,8.95,6.75,10.02,6.19,4.29,4.03,5.58,2.57,3.74,2.87,6.39,6.35,2.14,3.69
Total,,,,,,,70.84,51.97,51.46,57.66,49.25,46.01,74.3,50.5,56.15,47.86,51.74,66.83,45.6,43.02
