"FONT RES. (TYNEWOUTH W.W.)",,,,,,,,,,,,
Grid ref,NZ049936,Long,-1.924492,Lat,55.236582,,,,,,,
Station no,3588,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.25,2.62,1.18,3.14,2.72,3.96,3.60,2.52,1.88,5.10,,
February,3.01,0.82,1.42,2.64,3.22,3.38,4.30,3.76,0.42,3.97,,
March,4.21,2.18,0.41,1.70,1.84,1.12,2.55,4.38,1.03,2.61,,
April,2.39,1.45,3.35,0.74,0.77,1.00,0.64,1.20,2.37,1.38,,
May,3.50,1.72,2.05,4.53,2.40,0.41,1.87,3.45,0.63,2.65,,
June,1.34,1.77,2.69,1.52,1.31,2.65,1.82,3.63,2.65,1.88,,
July,1.78,1.89,2.49,2.99,1.94,2.81,3.73,3.83,2.98,5.14,,
August,5.56,4.29,3.08,5.38,1.37,9.65,4.88,2.81,0.45,3.72,,
September,1.02,4.10,3.16,4.31,1.61,2.91,3.06,2.73,0.89,2.97,,
October,0.86,3.61,1.31,5.63,2.01,1.75,2.36,2.46,2.42,7.06,,
November,7.87,3.78,2.04,3.72,1.61,1.08,2.36,0.83,6.49,3.73,,
December,2.12,3.84,1.48,2.47,4.80,2.85,2.13,5.18,4.84,3.13,,
Total,35.91,32.07,24.66,38.77,25.60,33.57,33.30,36.78,27.05,43.34,,
Calc annual,35.91,32.07,24.66,38.77,25.60,33.57,33.30,36.78,27.05,43.34,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
