EFFINGHAM-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ119527,Long,-0.39759,Lat,51.2628,Elevation,363,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,125/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.2,2.3,2.25,0.8,5.5,6.4,3.1,5.6,2.5,2.82,3.2,6.11,1.82,1.48,,,,,,,,,,,4.3,2.05,2.6,2.95,3.2
February,1.6,0.3,3.95,0.33,4.1,2.4,4.5,0.55,1.7,2.25,2.4,0.55,1.85,0.73,1.93,,,,,,,,,,,0.38,3.94,2.35,0.1,2.7
March,0.3,1.85,3.6,2.95,0.4,2,4.1,0.3,1.4,3.2,3.6,1.76,0.4,0.13,1.2,,,,,,,,,,,0.72,1.15,2.03,2.85,1.55
April,4.35,2.63,0.6,2.7,3.1,1.9,3,0.1,3.1,2.95,2,1.84,1.25,1.7,0.93,,,,,,,,,,,1.15,0.3,1.1,3,0.7
May,2.38,3.4,2.9,0.6,1.6,0.46,2.5,1.65,1.9,1.1,2.6,3.86,2.95,0.62,1.45,,,,,,,,,,,0.2,1.65,2.7,0.82,1.85
June,1.33,1.65,1.6,1.1,4.2,3.5,1.8,0.6,1.3,0.5,2.7,0.16,1.5,1.79,2.38,,,,,,,,,,,2.12,1.4,3.75,0.55,2.55
July,4.3,3.1,1.95,1.88,1,4.3,0.85,2,3.1,2.15,4.8,1.98,1.82,1.54,4.45,,,,,,,,,,,5.25,4,2,1.95,2.55
August,4.6,0.8,0.9,2.1,3.5,0.65,1,1.75,1.8,0.1,3.76,2.76,1.2,2.04,2.03,,,,,,,,,,,3.9,3.7,4.1,1.65,3.05
September,2,2.3,2.9,1.95,4.4,2.4,2.2,2.2,1.6,1.45,0.41,1.78,1.95,2.35,2.6,,,,,,,,,,,2.5,3.35,5.3,0.13,2.75
October,0.6,6.4,1.95,2.05,3.8,2,3.2,3,5.9,3.45,1.15,3.78,3.9,3.88,3.8,,,,,,,,,,,1.45,1.9,3.15,3.18,7.9
November,3.7,1.25,1.25,2.8,6.8,4.3,1.8,4.8,5.2,8.39,3.62,1.98,1.44,4.16,0.23,,,,,,,,,,,0.74,3.3,2.06,4.23,5.5
December,0.6,0.85,0.5,8.6,4.5,3.75,4.95,4.85,1.8,1.54,1.98,3.67,2.18,3,3.96,,,,,,,,,,,4.73,2.4,3.62,5.9,3.2
Total,,27.73,24.4,29.31,38.2,33.16,36.3,24.9,34.4,29.58,31.84,27.32,26.55,23.76,26.44,,,,,,,,,,,27.44,29.14,34.76,27.31,37.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jan part estimated probably station started mid month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Monthly records Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 June 27 Gauge tested and found sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Mar Adjusted for snow Printed with query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 May 16 Engineer states gauge defective Now repaired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Gauge tested and found to be sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Total looks rather low. Printed with query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Jan 25 Inspection Gauge leaks badly Measure flat bottomed 5in Site unorthodox Slightly o/e N Recommend moving gauge N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-1955 removed due to questionable data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
