HALEWOOD SEWAGE WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ460859,Long,-2.813,Lat,53.3672,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2810/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.66,2.22,3.11,3.91,4.36,1.91,3.43,2.21,7.13,1.9,1.09,2.59,3.43,1.41,2.6,2.3,4.28,1.74,2.89,3.4,4.68
February,,,,,,,,,,2.68,3.91,1.28,1.59,1.57,3.14,4.89,0.85,1.75,1.27,4.74,2.16,1.38,1.46,3.05,1.85,0.37,1.95,4.27,0.23,1.74
March,,,,,,,,,,2.53,3.11,2.42,0.99,0.82,0.99,1.16,4.75,0.88,2.4,1.47,4.92,2.11,1.03,2.43,1.82,1.29,2.58,1.65,1.24,1.55
April,,,,,,,,,,2.31,1.53,1.29,1.5,1.81,1.76,0.94,2.42,1.38,2.72,3.41,1.83,2.21,2.47,0.88,1.89,3.26,0.66,0.92,3.14,1.42
May,,,,,,,,,,2.29,2.04,3.84,2.76,2.07,4.06,1.72,3.58,1.2,3.86,0.99,3.05,2.36,2.19,2.66,2.53,0.85,1.39,3.36,1.99,2.52
June,,,,,,,,,,1.48,0.68,0.33,2.61,2.09,3.04,3.85,2.2,3.99,0.77,2.54,1.22,2.24,1.64,2.72,3.58,2.48,1.73,5.2,2.28,1.9
July,,,,,,,,,,2.73,2.65,3.02,3.83,3.03,2.17,3.82,2.73,2.71,3.65,2.61,1.83,1.55,3.45,4.32,0.58,5.03,4.47,4.47,3.3,4.02
August,,,,,,,,,,1.11,5.17,2.95,4.3,4.1,2.54,3.79,0.43,4.03,1.73,4.52,4.68,1.57,3.34,4.67,1.25,9.83,3.63,3.46,1.02,4.01
September,,,,,,,,,,3.55,1.02,2.36,3.49,4.83,1.92,4.16,2.42,1.91,1.18,4.85,3.05,4.16,3.29,3.12,2.79,2.41,6.75,4.4,0.14,3.64
October,,,,,,,,,,4.08,3.68,3.41,4.33,4.43,4.29,1.28,1.04,2.51,3.35,2.48,1.14,4.02,1.76,5.95,2.14,2.5,3.4,3.43,2.84,3.74
November,,,,,,,,,,5.96,2.7,0.84,2.7,5.14,0.51,5.21,3.56,2.21,5.16,5.19,7.69,3.16,2.75,4.88,1.65,1.6,1.28,1.82,4.67,5.65
December,,,,,,,,,,2.86,1.31,3.24,1.53,2.86,2.74,3.69,3.19,3.05,4.77,2.83,5.15,3.28,1.53,4.22,3.55,2.11,3.49,4.48,4.81,3.48
Total,,,,,,,,,,34.24,30.02,28.09,33.54,37.11,29.07,37.94,29.38,32.75,32.76,36.72,39.31,31.47,26.32,41.5,25.93,36.01,33.07,40.35,29.06,38.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to CEDA Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
