BLACK-CLOUGH-WOODHEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SK113977,Long,-1.8312156,Lat,53.47591,Elevation,1700,ft.,,,,,,,,,,,,
Station no,RR2043,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,,6,4.2,3.8,,,,,,,,
February,,,,,,,,,,2,4.6,2.5,,,,,,,,
March,,,,,,,,,,2,3.5,4.5,,,,,,,,
April,,,,,,,,,,3,4,2.8,,,,,,,,
May,,,,,,,,,,2.5,1.5,3.5,,,,,,,,
June,,,,,,,,,,3,3.5,5.9,,,,,,,,
July,,,,,,,,,,6.1,7.9,1.4,,,,,,,,
August,,,,,,,,,,4,5.9,5.3,,,,,,,,
September,,,,,,,,,,6.3,0.7,2.6,,,,,,,,
October,,,,,,,,,,8.7,5.5,4,,,,,,,,
November,,,,,,,,,,4,7.5,3.2,,,,,,,,
December,,,,,,,,,,4.6,4,1.5,,,,,,,,
Total,,,,,,,,,,52.2,52.8,41,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Middle Black Clough at stated altitude. ,,,,,,,,,,,,,,,,,,,,
NGR could be up to 700m E or W where Near and Far Black Cloughs are,,,,,,,,,,,,,,,,,,,,
