THEYDON-BOIS-VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ449992,Long,0.094098281,Lat,51.672889,Elevation,240,ft,,,,,,,,,,,,,
Station no,1264/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.04,,,1.78,1.46,1.95,,1.53,4.28,3.74,3,3.97,
February,,,,,,,,,1.66,,,1.81,0.21,1.29,,2.39,1.81,4.16,0.72,1.02,
March,,,,,,,,,1.71,,,0.07,1.59,2.53,,0.58,1.19,2.38,0.42,1.83,
April,,,,,,,,,1.19,,2.01,3.67,2.56,0.93,2.11,3.23,1.07,3.02,0.05,2.68,
May,,,,,,,,,2.79,,3.37,2.85,2.73,2.14,0.56,1.08,0.33,2.76,1.82,1.73,
June,,,,,,,,,3.28,,3.33,1.64,0.57,1.9,1.26,3.33,3.59,1.94,0.42,1.26,
July,,,,,,,,,1.88,,2.21,2.94,1.89,1.04,1,0.65,3.61,1.98,1.9,2.17,
August,,,,,,,,,2.02,,3.39,4.02,1.16,0.58,2.09,1.62,0.62,0.77,,2.91,
September,,,,,,,,,0.57,,3.29,2,2.09,2.89,1.27,3.18,3.62,1.31,2.64,1.15,
October,,,,,,,,,3.48,,1.28,0.72,5.49,1.78,1.28,2.75,1.9,1.92,2.65,5.1,
November,,,,,,,,2.03,2.32,,3.84,2.18,1.24,1,2.23,3.72,3.33,1.33,3.24,4.12,
December,,,,,,,,2.99,2.62,,2.42,0.74,,0.33,4.76,3.02,2.08,4,,1.23,
Total,,,,,,,,,26.56,,,24.42,,18.36,,27.08,27.43,29.31,,29.17,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1932 Dec estimated,,,,,,,,,,,,,,,,,,,,,
1934 Jan-Mar estimated,,,,,,,,,,,,,,,,,,,,,
1938 Aug Dec estimated,,,,,,,,,,,,,,,,,,,,,
