"STANSTED NURSERIES",,,,,,,,,,,,
Grid ref,TL509242,Long,0.191663,Lat,51.895923,,,,,,,
Station no,1239/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.77,2.20,1.30,1.24,2.51,3.79,1.27,2.27,2.70,2.29,,
February,4.50,0.74,2.13,2.32,1.80,0.75,2.56,2.78,0.12,1.82,,
March,3.30,2.83,0.32,2.32,1.47,0.78,1.18,1.14,2.24,0.99,,
April,2.73,1.22,2.64,0.21,0.37,1.36,0.28,1.19,2.56,0.55,,
May,2.66,1.26,1.65,2.06,4.62,0.57,0.59,2.58,0.85,1.35,,
June,1.17,-999.00,2.09,1.98,2.94,2.10,1.93,5.18,0.61,1.47,,
July,1.21,0.65,3.79,2.86,0.71,3.89,3.09,3.02,1.91,2.68,,
August,4.81,5.94,2.11,3.35,1.02,4.55,1.85,3.16,0.71,2.87,,
September,3.09,2.94,1.45,1.66,2.00,1.76,2.89,3.53,0.06,4.44,,
October,0.95,2.55,2.84,2.59,4.34,2.15,2.29,2.40,2.00,6.28,,
November,4.23,4.29,1.24,3.79,0.87,0.92,2.36,2.00,2.71,3.42,,
December,1.76,-999.00,0.69,2.21,1.92,2.85,2.18,2.92,4.61,3.06,,
Total,33.18,29.34,22.25,25.59,24.59,25.47,22.47,32.17,21.08,31.22,,
Calc annual,33.18,24.62,22.25,26.59,24.57,25.47,22.47,32.17,21.08,31.22,,
Difference,0.00,4.72,0.00,-1.00,0.02,-0.00,0.00,0.00,0.00,-0.00,,
