ARDSLEY RESERVOIR NO 2 (Lower),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE289245,Long,-1.5628,Lat,53.7169,Elevation,326,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.8,1.35,3.13,1.01,2.18,1.6,3.61,2.95,3.56,2.93,1.41,1.61,2.21,2.14,1.82,4.61,1.72,3.79,1.95,1.63,1.89,,,,,,,
February,,,,0.75,1.36,3,4.24,0.6,2.58,2.13,2.1,0.13,2.56,4.15,0.99,3.86,2.21,0.94,2.73,0.54,0.71,2.55,0.34,2.34,,,,,,,
March,,,,2.82,2.27,0.99,4.46,2.15,1.32,3.76,1.89,0.86,1.65,1.59,0.88,0.89,0.59,1.97,1.92,0.26,2.74,0.44,1.59,2.06,,,,,,,
April,,,,2.64,0.74,0.71,1.11,1.62,1.09,1.81,3.08,0.84,2.85,1.72,1.37,2.93,1.27,2.41,0.75,1.05,2.12,3.43,2.02,1.66,,,,,,,
May,,,,2.1,1.05,2.02,2.55,2.61,2.47,1.54,3.15,1.06,0.89,3.05,3.8,3.83,2.42,1.85,2.3,1.26,1.38,2.5,5.22,2.45,,,,,,,
June,,,,0.94,2.04,1.51,1.58,1.58,1.6,0.69,1.63,0.12,1.67,0.77,2.2,0.04,3.18,1.9,3.61,1.01,1.28,5.68,0.24,1.65,,,,,,,
July,,,,1.02,3.53,3.97,1.23,1.13,3.88,2.72,6.13,0.47,3.57,5.44,2.68,0.8,2.17,3.94,0.32,2.2,4.75,3.06,2.8,2.13,,,,,,,
August,,,,1.33,2.28,2.94,1.64,4.87,2.1,2.51,1.6,3.79,5.14,2.86,2.39,2.79,3.27,5.72,3.48,2.6,3.3,4.06,1.21,0.43,,,,,,,
September,,,,1.71,1,0.54,1.94,0.54,6.63,0.72,0.88,0.87,2.94,1.85,3,2.74,1.22,3.34,0.26,0.71,3.74,3.75,1.58,1.61,,,,,,,
October,,,,3.33,2.14,1.14,3.97,3.62,1.83,2.68,2.01,1.43,0.76,2,3.39,2.66,2.63,2.14,4.52,2.13,2.67,0.89,3.38,3.31,,,,,,,
November,,,,1.91,2.68,1.94,3.13,1.48,1.05,1.85,1.01,2.14,1.24,2.58,1.9,1.83,3.66,3.2,3.81,4.27,2.74,3.56,1.24,1.72,,,,,,,
December,,,,1.57,5.24,6.26,2.22,1.63,4.78,3.54,2.6,3.06,3.21,2.67,2.32,3.21,0.92,2.47,1.34,4.62,2,1.04,0.74,0.48,,,,,,,
Total,,,,22.92,25.68,28.15,29.08,24.01,30.93,27.56,29.03,18.33,29.41,30.09,26.53,27.79,25.68,31.7,29.65,22.37,31.22,32.91,21.99,21.73,,,,,,,
