ARDSLEY RESERVOIR W BATLEY - Upper No 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE287248,Long,-1.566578,Lat,53.718827,Elevation,395,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.14,1.49,1.45,1.78,2.32,0.61,3.33,0.8,1.4,1.12,2.17,0.73,3.71,2.61,1.34,3.02,1.02,,1.47,3.6,2.67,3.36,2.91,1.33,1.62,2.18,1.98,1.77,4.62,1.7,3.73,1.9,1.61,1.85,1.56,1.13,2.93,3.46,2.1,4.01,2.47,3.08,2,3.03,2.61,2.36,1.75,1.74,5.54,0.95,1.25,2.09,1.91,0.82,2.11,1.81,3.59,1.24,2.03,2.37,4.83
February,3.96,1.49,1.34,1.72,3.98,0.86,1.69,1.01,1.16,0.7,1.72,1.57,1.58,0.75,1.39,2.86,3.94,,2.52,2.06,1.96,0.13,2.51,4.05,0.9,3.85,2.18,0.92,2.65,0.55,0.71,2.53,0.33,1.27,0.28,2.26,2.63,4.13,0.96,1.05,2.79,3.28,0.81,0.73,0.97,1.99,2.46,3.04,1.65,1.15,4.34,2.7,0.59,1.78,2.19,2.27,1.28,2.57,4.25,0.13,1.32
March,0.61,1.38,0.73,3.07,2.1,2.04,1.58,1.63,3.27,2.81,0.33,0.88,2.52,2.79,2.36,0.95,4.15,,1.26,3.7,1.72,0.88,1.59,1.59,0.89,0.89,0.58,1.97,1.96,0.27,2.62,0.39,1.6,2,1.71,0.86,1.87,2.2,0.28,1.64,1.9,3.23,1.52,0.46,0.12,0.28,1.19,4.12,0.93,0.96,1.34,2.97,1.73,0.81,1.68,2.37,0.75,1.56,1.61,1.02,2.01
April,0.74,1.68,1.71,1.31,1.43,2.07,0.53,1.25,2.28,2.22,1.95,0.71,0.38,2.68,0.76,0.68,1.09,,1.07,1.77,3.08,0.82,2.81,1.72,1.38,3.07,1.33,2.5,0.71,1.04,2.14,3.4,1.9,1.59,2.25,4.49,1.36,2.56,0.07,1.28,2.1,1.82,1.07,1.03,1.66,1.42,1.31,2.06,1.78,2.13,3.3,0.94,1.21,1.97,0.28,0.57,2.56,0.13,0.38,3.89,0.79
May,1.35,1.44,2.79,3.26,2.7,0.59,1.73,3.12,2.11,1.99,2.04,0.61,3.62,2.15,1.04,1.95,2.51,,2.42,1.47,3.13,1.05,0.88,3.05,3.92,3.8,2.29,1.83,2.33,1.21,1.39,2.58,5.15,2.73,1.01,0.6,1.59,2.91,3.28,1.68,0.32,1.38,2.3,2.08,1.29,3.64,1.78,3.93,1.02,1.66,1.93,4.44,1.54,1.75,2.82,2.64,0.7,1.05,2.87,0.9,1.16
June,2.51,0.82,2.12,1.61,0.8,2.41,1.68,3.26,1.1,3.32,2.24,3.34,4.15,0.87,2.01,1.59,1.47,,1.61,0.67,1.64,0.12,1.61,0.77,2.32,0.04,3.13,1.83,3.56,0.99,1.49,5.75,0.24,1.64,1.9,1.99,3.96,1.36,1.79,1.54,0.66,0.35,1.11,1.26,1.63,2.1,1.43,2.64,3.28,0.74,0.89,0.7,1.85,2.33,1.25,1.42,2.35,1.25,4.01,1.75,1.02
July,4.37,2.56,1.91,2.71,1.39,1.25,1.33,2.55,2.77,3.31,2.9,0.2,4.36,1.01,3.41,3.97,1.25,,3.8,2.8,6.24,0.45,3.47,5.42,2.65,0.78,2.12,3.97,0.32,2.27,4.76,3.15,2.81,2.13,1.52,0.56,3.02,2.62,3.55,5.47,3.77,1.65,1.36,1.41,2.38,1.59,2.91,1.7,0.92,3.47,2.02,2.65,1.19,2.73,1.64,0.67,4.27,3.59,4.31,1.69,2.81
August,4.76,1.34,4.13,2.39,3.52,5.15,2.57,1.42,2.03,2.48,3.66,1.69,6.07,1.28,2.31,2.76,1.63,,2.02,2.51,1.65,3.65,5.03,2.78,2.38,2.73,3.18,5.89,3.44,2.64,3.35,4.24,1.2,0.38,0.94,1.76,1.61,0.92,3.56,0.96,0.39,3.04,2.38,2.21,2.83,2.14,3.64,0.24,3.33,1.99,3.5,4.67,2.23,2.96,5.09,0.44,6.12,4.37,2.56,0.4,4.98
September,0.29,0.88,1.16,2.9,0.61,1.45,0.64,0.62,2.06,1.86,0.18,2.53,1.23,1.71,1.03,0.55,1.9,,6.64,0.72,0.87,0.92,2.96,1.82,2.88,2.66,1.25,3.37,0.26,0.69,3.75,3.75,1.6,1.59,2.37,4.78,2.8,1.39,2.53,1.22,1.93,0.39,1.33,3.02,3.54,1.47,3.36,1.2,0.99,1.26,2.82,2.17,1.47,1.52,2.53,1.33,2.92,3.89,2.42,0.25,3.67
October,3.31,1.81,2.54,7.34,0.41,1.77,4.53,5.17,1.26,1.81,2.78,2.15,2.84,3.37,2.08,1.17,3.85,,1.84,2.81,2.03,1.42,0.74,2,3.38,2.62,2.57,2.22,4.48,2.17,2.64,0.88,3.41,3.39,1.85,5.31,2.17,2.47,3.93,2.33,3.44,2.62,2.11,1.54,2.15,3.27,0.55,0.93,1.14,2.81,1.23,0.88,3.55,1.74,3.5,1.71,1.29,1.23,1.31,1.88,6.35
