"ARDSLEY RESERVOIR W BATLEY",,,,,,,,,,,,
Grid ref,SE287248,Long,-1.566578,Lat,53.718827,,,,,,,
Station no,3246,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.14,1.49,1.45,1.78,2.32,0.61,3.33,0.80,1.40,1.12,,
February,3.96,1.49,1.34,1.72,3.98,0.86,1.69,1.01,1.16,0.70,,
March,0.61,1.38,0.73,3.07,2.10,2.04,1.58,1.63,3.27,2.81,,
April,0.74,1.68,1.71,1.31,1.43,2.07,0.53,1.25,2.28,2.22,,
May,1.35,1.44,2.79,3.26,2.70,0.59,1.73,3.12,2.11,1.99,,
June,2.51,0.82,2.12,1.61,0.80,2.41,1.68,3.26,1.10,3.32,,
July,4.37,2.56,1.91,2.71,1.39,1.25,1.33,2.55,2.77,3.31,,
August,4.76,1.34,4.13,2.39,3.52,5.15,2.57,1.42,2.03,2.48,,
September,0.29,0.88,1.16,2.90,0.61,1.45,0.64,0.62,2.06,1.86,,
October,3.31,1.81,2.54,7.34,0.41,1.77,4.53,5.17,1.26,1.81,,
November,2.39,4.07,1.78,1.39,1.25,3.44,3.19,2.46,1.11,0.38,,
December,2.84,4.58,1.73,1.10,1.51,0.42,2.17,1.93,1.11,4.22,,
Total,30.27,23.54,23.39,30.58,22.02,22.06,24.97,25.22,21.66,26.22,,
Calc annual,30.27,23.54,23.39,30.58,22.02,22.06,24.97,25.22,21.66,26.22,,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
