"ARDSLEY RESEVOIR (UPPER)",,,,,,,,,,,,
Grid ref,SE287248,Long,-1.566578,Lat,53.718827,,,,,,,
Station no,3246,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.09,1.91,0.82,2.11,1.81,3.59,1.24,2.03,2.37,4.83,,
February,2.70,0.59,1.78,2.19,2.27,1.28,2.57,4.25,0.13,1.32,,
March,2.97,1.73,0.81,1.68,2.37,0.75,1.56,1.61,1.02,2.01,,
April,0.94,1.21,1.97,0.28,0.57,2.56,0.13,0.38,3.89,0.79,,
May,4.44,1.54,1.75,2.82,2.64,0.70,1.05,2.87,0.90,1.16,,
June,0.70,1.85,2.33,1.25,1.42,2.35,1.25,4.01,1.75,1.02,,
July,2.65,1.19,2.73,1.64,0.67,4.27,3.59,4.31,1.69,2.81,,
August,4.67,2.23,2.96,5.09,0.44,6.12,4.37,2.56,0.40,4.98,,
September,2.17,1.47,1.52,2.53,1.33,2.92,3.89,2.42,0.25,3.67,,
October,0.88,3.55,1.74,3.50,1.71,1.29,1.23,1.31,1.88,6.35,,
November,6.29,1.26,2.22,3.96,1.78,0.66,1.74,0.89,3.04,4.70,,
December,2.46,1.94,1.21,2.70,2.84,2.65,3.01,3.42,3.17,2.80,,
Total,32.96,20.47,21.84,29.75,19.85,29.14,25.63,30.06,20.49,36.44,,
Calc annual,32.96,20.47,21.84,29.75,19.85,29.14,25.63,30.06,20.49,36.44,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
