RUGBY (FRANKTON MANOR),,,,,,,,,,,,,,,,,,,,
Grid ref,SP423701,Long,-1.380736,Lat,52.32737,Elevation,350,ft,,,,,,,,,,,,
Station no,2457/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.71,2.31,2.43,2.79,4.81,2.71,3.1,2.71,3.85,,,,,,,
February,,,,,2,1.94,2.96,0.74,1.17,2.02,2.03,0.81,1.19,,,,,,,
March,,,,,0.37,1.36,2.03,0.28,1.52,1.97,2.12,1.73,0.82,,,,,,,
April,,,,,3.34,1.84,2.97,0.04,1.78,2.09,1.1,1.17,0.71,,,,,,,
May,,,,,1.25,0.45,3.12,2.05,1.09,1.7,2.03,3.21,2.86,,,,,,,
June,,,,,3.32,3.46,0.78,1.5,1.82,0.54,1.12,0.38,2.02,,,,,,,
July,,,,,0.41,6.34,3.47,2.25,5.2,3.29,3.73,1.51,0.67,,,,,,,
August,,,,,1.07,0.49,1.86,3.27,4.88,0.12,3.82,2.16,1.53,,,,,,,
September,,,,,3.42,3.69,2.1,2.85,0.88,0.84,0.39,1.08,1.45,,,,,,,
October,,,,,3.34,2.32,2.49,2.44,4.82,2.68,2.41,2.98,1.84,,,,,,,
November,,,,,4.75,1.94,1.35,2.09,3.8,5.26,2.37,1.9,1.5,,,,,,,
December,,,,,2.91,2.16,1.85,2.77,1.17,0.95,1.25,2.54,0.89,,,,,,,
Total,,,,,26.89,28.3,27.41,23.07,32.94,24.17,25.47,22.18,19.33,,,,,,,
