BARTLEY (BROMWICH WOOD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO999810,Long,-2.002897,Lat,52.426984,Elevation,611,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2473/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.32,2.39,2.29,3.63,1.28,3.83,3.38,3.09,5.79,3.3,3.64,4.24,5.8,2.71,2.02,2.56,2.53,5.28,1.83,0.75,3.02,2.79,1,1.12,2.68,3.99,1.39,2.91,3.68,6.4
February,2.93,0.31,3.73,0.41,2.98,2.97,4.33,0.74,1.47,3.06,3.21,1.04,1.91,1.49,2.66,2.26,1.84,1.65,0.84,5.67,3.35,0.54,1.56,3.17,1.96,0.58,3.52,5.7,0.23,3.06
March,0.24,2.01,3.12,2.58,0.61,2.16,2.62,0.44,1.59,1.87,2.65,2.22,1.02,0.47,0.98,1,7.46,1.37,1.74,1.5,5.19,2.38,1.85,3,3.56,1.19,2.63,1.44,2.3,1.61
April,4,3.75,0.96,2.43,4.05,2.01,3.11,0.16,1.95,4.2,1.64,1.62,0.9,2.22,1.04,2.8,2.45,1.86,2.55,2.18,2.8,2.93,3.35,0.77,1.37,1.21,0.17,0.71,3.71,1.46
May,4.87,6.05,1.67,1.07,1.18,1.55,2.6,2,1.28,3.37,3.21,4.46,4.47,0.91,2.95,2.83,2.38,2.64,2.39,1.55,3.37,2.44,2.73,2.86,5.17,0.72,1.94,2.71,1.31,1.38
June,5.27,1.32,3.09,1.22,2.86,3.73,0.73,1.98,2.07,0.73,1.2,0.21,2.06,1.82,3.28,2.59,2.26,3.67,0.32,2.78,1.28,1.74,2.44,3.27,3.18,2.38,1.77,4.13,1.13,2.51
July,3.52,3.54,2.59,1.89,0.47,6.66,2.63,3.27,5.22,3,3.72,2.09,1.17,2.89,3.15,1.86,4.83,1.69,2.36,3.49,1.23,1.05,3.84,3.97,1.09,3.8,3.61,4.78,1.68,3.47
August,5.66,2,0.97,2.32,1.94,0.56,0.99,2.98,2.25,0.25,4.3,3.22,1.56,3.39,1.87,6.31,0.79,5.24,1.35,3.73,4.8,4.27,2.95,4.68,0.52,5.42,3.78,3.42,2.16,3.82
September,2.61,3.55,0.72,2.63,4.29,3.22,2.4,1.77,0.98,1.22,0.87,1.4,1.91,3.76,1.95,3.92,1.6,3.06,1.27,4.67,2.54,1.85,3.1,1.94,2,3.65,5.07,4.37,0.18,5.02
October,0.89,4.01,5.28,2.07,4.18,1.74,2.9,2.84,3.65,4.63,2.96,3.2,2.08,3.64,3.91,0.62,0.5,3.11,5.7,0.99,0.65,4.76,2.39,4.11,2.01,1.78,1.62,2.43,3,6.32
November,4.61,1.81,1.15,2.34,6.29,3.1,1.79,3.67,4.74,6.88,3.79,1.53,1.79,4.57,0.38,6.4,1.84,1.63,3.37,4.68,8.77,2.26,1.62,6.53,3.42,0.82,2.04,2.32,4.69,4.46
December,1.13,1.13,0.55,5.87,3.98,3,2.84,4.51,1.94,2.05,1.91,3.96,1.55,1.8,3.99,3.26,2.64,5.45,1.71,2.14,2.95,3.08,1.34,2.58,2.75,3.37,2.8,3.77,5.97,3.84
Total,38.05,31.87,26.12,28.46,34.11,34.53,30.32,27.45,32.93,34.56,33.1,29.19,26.22,29.67,28.18,36.41,31.12,36.65,25.43,34.13,39.95,30.09,28.17,38,29.71,28.91,30.34,38.69,30.04,43.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,BROMWICH WOOD ,01/01/1932,31/12/1967,,,,,,,,,,,,,,,,,,,,,,,,,,,
