BROADWINDSOR-VICARAGE,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST440025,Long,-2.79557,Lat,50.81967,Elevation,540,ft,,,,,,,,,,,,,,
Station no,RR6712,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,6.42,5.58,3.38,1.23,4.39,5.03,0.75,7.88,1.37,1.35,1.66,,1.72,5.81,7.5,1.39,4.55,,,,
February,,4.05,6.06,1.42,2.11,1.74,4.92,0.77,3.92,1.63,2.35,0.49,,1.64,4.99,1.7,7.26,7.73,,,,
March,,0.56,1.59,3.37,2.38,5.91,1.92,5.84,1.64,0.77,3.58,5.83,,2.54,7.54,4.78,6.66,1,,,,
April,,3.5,1.61,3.55,1.67,3.36,1.45,2.5,1.04,4.71,2.29,2.35,,2.18,0.12,5.11,1.5,1.52,,,,
May,,1.57,2.18,2.27,2.3,3.28,2.94,0.74,2.6,2.65,2.26,1.47,,1.44,2.03,3.29,2.81,2.87,,,,
June,,1.57,3.28,1.34,3.82,3.15,2.09,2.53,1.59,2.5,0.34,5.08,,1.86,3.86,0.8,3.4,1.39,,,,
July,,1.92,1.29,2.35,1.86,3.79,4.73,0.62,1.23,1.63,2.16,3.81,,0.17,2.91,0.84,6.73,5.34,,,,
August,,1.57,3.33,2.48,4.01,4.83,4.03,4.53,1.24,1.69,4.26,2.67,,0.93,9.02,1.92,3.87,1.84,,,,
September,,1.79,1.35,4.41,2.2,5.93,2.15,3.03,1.57,0.71,2.98,2.89,,1.42,1.56,3.13,2.9,1.76,,,,
October,6.14,2.6,2.98,3.06,2.91,8.78,1.99,2.7,7.72,7.76,4.54,9.63,,4.07,5.65,5.64,4.81,8.25,,,,
November,4.64,4.9,4.8,0.78,4.07,2.09,1.91,6.12,4.41,4.29,1.36,0.96,,5.1,2.37,4.71,7.5,3.95,,,,
December,5.05,3.24,8.36,8.36,2.92,4.07,3.67,1.17,2.21,5.09,4.55,5.87,,9.91,7.2,2.45,10.77,11.14,,,,
Total,,33.69,42.41,36.77,31.48,51.32,36.83,31.3,37.05,34.8,32.02,42.71,,32.98,53.06,41.87,59.6,51.34,,,,
,,,,,,,,,,,,,,,,,,,,,,
1898 Oct 5 Gauge moved from Hursey House,,,,,,,,,,,,,,,,,,,,,,
1910 No reason given for no data,,,,,,,,,,,,,,,,,,,,,,
