BROADWINDSOR-VICARAGE-(HURSEY-HOUSE),,,,,,,,,
Grid ref,ST432030,Long,-2.80691,Lat,50.82455,Elevation,500,ft,
Station no,RR6712,,,,,,,,
,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898
January,,,,,,,,2.23,0.79
February,,,,,,,,6.33,4.27
March,,,,,,,,4.82,1.44
April,,,,,,,,4.29,2.24
May,,,,,,,,1.45,3.96
June,,,,,,,,3.51,1.37
July,,,,,,,1.79,1.26,0.19
August,,,,,,,2.18,4.78,1.53
September,,,,,,,9.36,3.78,
October,,,,,,,3.29,2.01,
November,,,,,,,1.02,0.95,
December,,,,,,,7.5,7.98,
Total,,,,,,,,43.39,
,,,,,,,,,
Hursey House on sheet but marked as Hurshay House on 1914 OS map,,,,,,,,,
1898 Feb Computed due to snow,,,,,,,,,
1898 Oct 5 Gauge moved to Vicarage,,,,,,,,,
