SAUGHTREE,,,,,,,,,,
Grid ref,NY564980,Long,-2.6878039,Lat,55.274204,Elevation,760,ft,,
Station no,RR7169,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,2.04,7.14,8.2,3.78,7.37,3.19,7.74,3.06,
February,,3.84,4.89,1.57,2.98,2.32,4.99,4.05,2.63,
March,,2.34,3.22,2.37,2.61,2.04,3.81,1.43,1.02,
April,,4.18,3.16,0.44,2.71,1.27,2.35,2.41,1.63,
May,,1.14,3.87,1.86,2.12,2.71,1.22,3.24,4.14,
June,,3.1,4.38,1.76,1.48,4.31,3.9,2.81,4.32,
July,,6.42,4.04,6.26,3.36,2.29,1.69,4.65,1.54,
August,,2.17,3.91,6.32,5.97,4.44,4.21,8.09,4.23,
September,,2.47,5.89,3.88,3.9,4.59,4.05,2.44,5.09,
October,,3.76,7.31,4.45,7.86,2.98,3.49,5.71,3.95,
November,,2.8,6.97,3.04,4.05,4.09,3.01,6.58,,
December,,5.5,5.4,1.88,1.8,5.46,7.22,2.64,,
Total,,39.76,60.18,42.03,42.62,43.87,43.13,51.79,,
