MOURNE MOUNTAINS (DEERS MEADOW),,,,,,,,,,
Grid ref,IJ260257,Long,-6.071371,Lat,54.164959,Elevation,1250,ft,,
Station no,"""6207/1/1""",,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.15,8.75,8.65,3.3,8.73
February,,,,,,1.55,6.17,5.7,2.35,7.35
March,,,,,,3.35,9.65,2.75,7.55,6.85
April,,,,,,2.06,2.25,2.34,4.75,6.25
May,,,,,,1.7,4.65,6.9,2.1,3.4
June,,,,,,6.1,1.45,9.5,2.45,4.31
July,,,,,,5.6,8.5,5.5,5.3,10.4
August,,,,,2.45,10.21,7,10.05,1.55,7.5
September,,,,,3.45,5.5,7,12.75,3.9,5.5
October,,,,,3.4,3.9,6.42,4.5,7.85,13.5
November,,,,,4.6,2.46,3.7,3.25,8.15,9.13
December,,,,,7.92,11.34,8.9,7.9,15.45,5.25
Total,,,,,,59.92,74.44,79.79,64.7,88.17
,,,,,,,,,,
16165,DEERS MEADOW ,01/01/1955,Current ,,,,,,,
