NEWNHAM-ON-SEVERN-SCHOOL,,,,,,,,,,
Grid ref,SO691116,Long,-2.4495241,Lat,51.802182,Elevation,100,ft,,
Station no,2131/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.18,3.84,5.09,3.85,6.81,2.96
February,,,,,2.45,2.08,5.54,1.21,2.04,3
March,,,,,1.17,3.36,4.17,0.12,2.02,2.69
April,,,,,7.06,2.45,2.36,0.03,3.17,1.33
May,,,,,1.92,1.86,2.89,2.68,1.2,3.2
June,,,,,4,2.65,1.19,1.05,2.5,0.6
July,,,,,0.38,6.04,3.29,2.79,5.85,3.09
August,,,,,1.3,0.28,1.14,3.69,3.94,0.1
September,,,,,4.53,3.95,2.11,1.71,1.41,0.8
October,,,,,3.86,1.85,3.24,4.89,2.11,5.55
November,,,,,6.02,3.21,1.78,5.23,6.03,9.6
December,,,,,3.2,3.75,2.37,4.79,2.05,1.95
Total,,,,,37.07,35.32,35.17,32.04,39.13,34.87
