DUNSFOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ007365,Long,-0.5618,Lat,51.1194,Elevation,166,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.75,1.79,2.79,1.25,2.92,3.78,2.51,3.93,3.43,1.71,2.74,5.82,3.84,1.6,3.77,0.63,5.75,1.28,2.5,0.48,1.9,1.31,2.72,2.62,2.16,3.6,2.01,0.78,0.8,2.92,1.57,0.52,1.55,4.56,,0.61,2.38,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,3.03,0.55,0.7,1.05,1.7,4.27,1.88,1.24,2.84,2.7,1.43,2.04,2.06,2.03,1.33,2.41,1.3,1.64,4.23,2.52,2.7,1.74,4.6,1.39,2.97,0.56,0.8,1.03,1.93,0.73,0.02,0.83,1.92,1.13,,0.48,3.29,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.18,3.05,0.7,2.9,0.8,1.72,2.27,1.25,1.4,1.82,1.43,2.32,1.62,0.41,0.83,2.71,2.52,0.65,0.4,1.03,1.7,0.56,0.92,1.8,1.8,1.67,1.59,3.21,0.71,1.42,1.65,0.84,0.06,1.23,,3.43,4.19,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.28,1.7,0.45,1.35,0.4,1.37,2.13,2.23,1.13,0.2,3.39,0.97,0.7,2.15,0.98,1.91,2.73,2.03,2.69,1.76,0.27,3.12,1.35,1.5,0.94,1.85,1.15,1.08,2.28,2.6,0.52,0.8,0.01,2.18,,0.47,1.56,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,2.22,3.9,1.35,1.6,1.9,1.14,1.41,0.72,5.11,1.36,0.29,2.96,1.4,0.93,0.98,0.8,2.4,3.47,3.09,0.22,1.16,1.42,1.83,0.54,3.9,4.27,1.52,1.67,2.53,1.44,1.95,0.98,0.31,1.8,,0.2,1.12,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.2,1.7,3.9,1.25,2.4,1.89,1.54,0.5,1.19,0.61,2.28,2.54,2.03,2.96,2.54,1.91,1.15,1.05,5.34,2.79,1.55,2.32,1.57,1.13,1.9,0.44,0.86,2.33,0.88,2.82,1.29,1.39,1.07,2.15,,3.9,1.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.6,1.4,1.15,0.35,2.35,3.09,4.34,2.42,0.87,3.01,3.73,2.47,1.96,2.22,4.11,0.55,3.59,1.6,3.24,3.87,2.03,2.93,2.08,2.74,0.38,1.98,0.63,4.07,1.72,3.6,2.41,2.05,2.7,4.02,,0.96,1.52,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,0.65,2.58,1.5,0.7,4.25,2.28,2.39,4.12,1.43,2.08,1.36,2.27,1.44,1.71,1.35,2.58,3.3,3.8,5,1.2,4.1,1.25,0.94,1.17,1.01,1.95,1.77,1.46,1.88,1.24,4.88,2.87,1.14,1.15,,1.84,2.5,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.25,1.87,3.45,2.85,0.1,5.03,1.88,2.32,4.55,2.84,5.49,1.73,2.78,3.47,1.45,3,1.29,1.53,3.96,5.87,2.85,2.09,2.82,2.44,4.46,1.1,2.28,0.84,0.73,1.28,1.4,1.84,1.1,1.82,,5.87,2.03,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,1.83,3.8,2.2,1.35,7.7,1,2.51,2.56,1.77,3.66,1.2,5.6,3.07,4.38,4.79,1.38,1.99,2.85,0.77,5.51,2.3,5.65,2.03,1.1,3.58,3.5,1.04,1.66,4.82,1.02,5.11,3.95,4.67,4.9,,3.62,0.39,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,3.88,1.03,1.92,2.75,3.6,1.48,0.56,1.31,1.84,1.83,0.43,5.03,2.49,3.9,3.7,1.29,5.57,3.09,0.9,2.73,3.63,3,3.5,1.25,3,3.17,4.46,4.6,0.73,1.52,3.2,2.55,1.88,3.76,,1.28,1.09,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,1.17,1.73,1.4,0.45,2.2,1.76,1.43,7.02,3.42,2.82,1.43,4.71,0.5,1.92,0.68,6,1.8,1.98,0.58,3.31,3.23,1.82,0.52,2.62,1.12,4.27,1.13,1.46,1.32,0.52,2.73,1.36,2.22,1.53,,3.95,2.58,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,24.04,25.1,21.51,17.85,30.32,28.81,24.85,29.62,28.98,24.64,25.2,38.46,23.89,27.68,26.51,25.17,33.39,24.97,32.7,31.29,27.42,27.21,24.88,20.3,27.22,28.36,19.24,24.19,20.33,21.11,26.73,19.98,18.63,30.23,23.23,26.61,24.55,19.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
