BIDEFORD-BUCKISH,,,,,,,,,,,,,,,,,,,,
Grid ref,SS347231,Long,-4.35619,Lat,50.98381,Elevation,550,ft,,,,,,,,,,,,
Station no,RR4386,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,5.07,6.6,6.44,6.92,6.31,3.18,3.98,8.73,6.11,,,,,,
February,,,,,,4.54,6.52,4.39,3.27,5.69,2.52,2.8,5.65,2.78,,,,,,
March,,,,,,2.58,3.44,3.62,4.35,2.27,2.29,1.98,5.47,3.94,,,,,,
April,,,,,,1.48,1.65,3.9,3,2,0.34,4.46,2.66,0.53,,,,,,
May,,,,,,4.44,2.07,3.01,1.83,4.78,2.24,1.09,2.05,1.91,,,,,,
June,,,,,,2.1,2.9,1.7,0.57,0.57,1.31,2.48,4.76,1.83,,,,,,
July,,,,,,2.57,2.53,4.52,0.66,1.33,1.6,7,5.14,4.67,,,,,,
August,,,,,,5.94,4.86,2.04,4.83,1.74,2.55,2.13,2.34,7.54,,,,,,
September,,,,,,0.63,10.14,2.81,4.33,7.78,2.35,8.11,5.34,3.57,,,,,,
October,,,,,,7.55,1.94,8.85,7.66,3.83,9.68,7.76,9.06,6.72,,,,,,
November,,,,,,4.48,5.7,1.56,4.1,5.61,4.5,1.8,6.45,3.24,,,,,,
December,,,,,,3.49,7.35,3.67,9.04,6.18,2.69,3.66,6.58,1.72,,,,,,
Total,,,,,,44.87,55.7,46.51,50.56,48.09,35.25,47.25,64.23,44.56,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge on lawn with  SW aspect somewhat sheltered from the N and NE,,,,,,,,,,,,,,,,,,,,
"Vicarage, aka St Annes, Buckish aka Bucks Cross",,,,,,,,,,,,,,,,,,,,
