KELMARSH-HALL,,,,,,,,,,
Grid ref,SP735795,Long,-0.920937,Lat,52.408577,Elevation,412,ft,,
Station no,1129/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4,4.23
February,,,,,,,,,0.03,1.7
March,,,,,,,,,2.12,1.88
April,,,,,,,,,2.84,0.71
May,,,,,,,,,0.58,1.14
June,,,,,,,,,1.01,3.42
July,,,,,,,,,1.61,3.59
August,,,,,,,,,0.9,3.55
September,,,,,,,,,0.07,3.86
October,,,,,,,,2.86,2.12,7.51
November,,,,,,,,1.8,2.24,3.11
December,,,,,,,,2.54,4.61,3.01
Total,,,,,,,,,22.13,37.71
