EDENBRIDGE-OLD-EAST-HAXTED,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ425457,Long,0.037906327,Lat,51.192761,Elevation,190,ft.,,,,,,,,,,,,
Station no,66/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,6.48,3.1,4.5,2.11,2.62,3.05,5.33,1.77,2.18,1.72,2.96,4.19,1.73,
February,,,,,,,4.62,1.07,1.45,2.15,2.89,1.22,2.9,0.65,1.47,2.68,1.57,2.67,1.38,
March,,,,,,,2.81,0.48,1.23,2.62,3.07,2.56,0.4,0.16,1.36,1.19,5.13,0.73,0.98,
April,,,,,,,2.58,0.06,2.19,1.77,1.67,1.85,1.22,1.53,1.29,3.12,1.58,1.7,1.34,
May,,,,,,,1.84,2.85,1.58,1.86,2.04,3.31,2.45,0.78,1.74,2.25,1.58,1.94,1.47,
June,,,,,,,2.17,0.58,0.81,0.28,1.99,0.14,1.69,0.92,1.65,2.72,2.61,2.63,0.89,
July,,,,,,,1.41,1.88,2.59,3.39,2.24,1.74,2.11,1.37,4.14,1.71,1.26,1.24,0.2,
August,,,,,,,2.14,3.5,2.38,0.23,4.54,2.57,1.74,4.91,2.25,4.62,0.05,4.65,1.12,
September,,,,,,,1.85,2.25,1.19,2.06,0.64,1.96,2.16,3.46,1.53,5.86,2.05,1.94,0.68,
October,,,,,,,2.72,3.23,6.97,3.8,1.19,3.65,3.77,5.02,3.29,1.09,0.38,1.9,8.42,
November,,,,,,,1.58,3.77,5.37,8.37,3.85,1.63,1.95,4.67,0.45,4.53,1.26,1.71,2.95,
December,,,,,,,3.7,3.3,1.35,1.91,2.23,3.36,2.6,2.5,4.08,2.84,2.41,4,1.39,
Total,,,,,,,33.9,26.07,31.61,30.55,28.97,27.04,28.32,27.74,25.43,34.33,22.84,29.3,22.55,
,,,,,,,,,,,,,,,,,,,,
"NGR is Old East Haxted, which matches relationship to church and station. Stated altitude is 15 to 20 ft. too high.",,,,,,,,,,,,,,,,,,,,
This NGR is broadly in line with the comment that the gauge is 200yards into Surrey,,,,,,,,,,,,,,,,,,,,
"1940s record has an NGR os TQ426260, 400m NNE, which does not fit the other data.",,,,,,,,,,,,,,,,,,,,
