"GARGUNNOCK HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5362,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.43,5.25,4.64,4.18,5.36,6.05,8.40,6.56,14.59,2.15,6.99,
February,6.17,1.85,3.82,4.63,0.60,5.75,6.10,3.06,6.66,2.16,0.63,
March,4.36,4.51,2.44,1.38,1.72,1.90,3.41,3.38,5.94,0.63,3.49,
April,1.63,2.32,2.91,4.00,3.06,5.25,2.72,2.52,2.37,1.06,1.08,
May,2.65,3.52,2.29,1.40,6.17,6.86,3.64,2.42,1.55,3.42,1.87,
June,1.31,0.92,1.73,1.50,1.74,0.42,3.54,4.17,5.97,2.34,2.92,
July,4.83,1.92,2.44,4.14,4.50,1.31,2.80,3.67,2.58,2.93,3.80,
August,5.47,5.07,2.05,6.39,3.14,4.48,3.18,9.27,5.43,5.03,6.50,
September,2.84,5.83,1.52,6.14,6.03,3.69,3.62,6.24,3.86,0.86,4.65,
October,2.01,4.11,1.62,7.16,3.54,4.13,6.01,7.53,8.17,5.60,6.41,
November,3.55,3.99,2.73,4.23,3.63,0.59,8.91,4.02,6.38,7.89,5.05,
December,4.35,6.84,2.18,3.14,10.66,4.46,1.47,1.65,5.31,11.18,5.71,
Total,45.60,46.13,30.37,48.29,50.15,44.89,53.80,54.49,68.81,45.25,49.10,
Calc annual,45.60,46.13,30.37,48.29,50.15,44.89,53.80,54.49,68.81,45.25,49.10,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
