MEALSGATE ULDALE RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,NY248371,Long,-3.1690685,Lat,54.723247,Elevation,580,ft,,,,,,,,,,,,
Station no,RR4495,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2.96,2.25,2.28,5.68,2.57,3.53,1.3,4.94,3.1,2.87,,,
February,,,,,,,,3.22,1.87,3.37,1.37,0.39,2.92,5.77,6.68,0.94,1.72,,,
March,,,,,,,,1.85,3.89,3.04,3.68,2.11,1.51,2.03,2.72,4.43,7.25,,,
April,,,,,,,,3.19,2.31,2.38,1.41,1.39,1.35,0.65,1.91,2.48,,,,
May,,,,,,,,2.53,2.08,2.91,3.55,2.97,4.73,2.28,3.84,0.85,,,,
June,,,,,,,,0.34,1.49,0.9,4.83,1.74,4.78,2.93,4.73,1.19,,,,
July,,,,,,,,2.84,5.9,2.18,4.34,3.59,2.5,4.01,3.48,5.96,,,,
August,,,,,,,,1.82,3.64,5.9,5.28,9.55,8.15,4.11,5.36,7.77,,,,
September,,,,,,,,6.16,2.12,3.6,4.62,7.41,8.76,5.28,0.54,2.06,,,,
October,,,,,,,,2.73,3.19,5.73,5.89,6.89,7.34,5.97,4.35,6.5,,,,
November,,,,,,,,3.75,6.95,2.56,7.18,4.82,2.64,4.12,5.41,4.81,,,,
December,,,,,,,,3.62,3.27,4.23,0.95,8.98,3.22,5.21,4.59,4.03,,,,
Total,,,,,,,,35.01,38.96,39.08,48.78,52.41,51.43,43.66,48.55,44.12,,,,
