HAYLEY GREEN (P.S.),,,,,,,,,,,,
Grid ref,SO941815,Long,-2.088203,Lat,52.431446,,,,,,,
Station no,2416/2/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.87,6.24,,
February,,,,,,,,,0.27,2.86,,
March,,,,,,,,,2.44,1.85,,
April,,,,,,,,,3.35,1.05,,
May,,,,,,,,,0.92,1.84,,
June,,,,,,,,,1.29,2.65,,
July,,,,,,,,,1.93,3.70,,
August,,,,,,,,,1.60,3.32,,
September,,,,,,,,,0.18,5.34,,
October,,,,,,,,,2.96,5.85,,
November,,,,,,,,,4.11,4.18,,
December,,,,,,,,,4.87,3.47,,
Total,,,,,,,,,26.79,42.35,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.79,42.35,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
