TIDEBROOK-DOWNGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ6114429864,Long,0.29742889,Lat,51.04553,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,563/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.37,2.7,5.31,1.48,3.52,2.72,3.82,2.33,3.8,1.27,5.67,7.37,3.97,6.56,2.01,3.15,2.52,,,,,,,,
February,,,,,,,2.7,4.51,1.62,0.79,1.57,2.67,0.3,2.6,0.22,5.68,2.6,5.7,0.67,1.59,2.82,3.5,0.86,,,,,,,,
March,,,,,,,0.5,4.66,2.17,0.01,1.82,0.46,1.8,3.43,4.1,0.42,1.44,4.06,0.62,1.68,2.6,2.75,3.24,,,,,,,,
April,,,,,,,4.95,1.89,2.95,1.1,2.25,3.9,2.81,1.27,2.75,4.25,2.59,2.4,0.55,2.64,1.52,1.77,1.13,,,,,,,,
May,,,,,,,1.99,0.7,2.12,2.35,2.98,3.02,2.73,1.52,0.62,1.96,0.29,2.25,2.48,1.51,1.32,2.29,3.51,,,,,,,,
June,,,,,,,3.3,5.85,4.16,1.3,2.06,1.42,1.12,1.79,1.52,2.07,2.82,2.24,0.86,1.3,0.28,2.04,0.23,,,,,,,,
July,,,,,,,1.94,2.66,1.41,1.46,3.09,2.72,3.42,1.9,1.37,0.7,4.36,0.97,2.4,3.23,3.48,3.78,2.04,,,,,,,,
August,,,,,,,3.03,4.65,1.87,3.01,4.78,3.48,0.56,1.66,2.49,5.01,1.32,1.48,1.73,1.83,0.03,4.2,2.79,,,,,,,,
September,,,,,,,1.02,4.89,0.49,0.56,3.74,2.68,2.87,3.58,1.79,4.87,3.09,1.62,3.39,0.62,1.7,0.88,2.27,,,,,,,,
October,,,,,,,3.08,2.6,7.93,4.12,2.23,0.69,8.3,2.34,2.43,4.91,2.42,3.36,5,7.04,5.26,1.75,3.41,,,,,,,,
November,,,,,,,8.02,3.21,4.88,9.85,6.8,6.26,1.82,1.17,3.87,8.42,5.39,1.19,4.09,7.03,8,4.44,1.75,,,,,,,,
December,,,,,,,0.75,5.31,4.02,8.08,3.17,0.84,1.02,0.73,9.32,5.28,3.55,3.9,3.41,1.61,2.33,2.27,3.3,,,,,,,,
Total,,,,,,,34.65,43.63,38.93,34.11,38.01,30.86,30.57,24.32,34.28,44.84,35.54,36.54,29.17,36.64,31.35,32.82,27.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_04_pt1-page-320 not used as is blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
