BAILLIESTON LANARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 679 641,Long,-4.111183,Lat,55.85205,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,2.47,3.02,4.18,4.19,3.24,6.06,7.98,3.32,3.65,6.76,4.18,7.85,4.35,5.44,3.77,6.2,7.13,,,,,,
February,,,,,,,3.26,1.31,0.95,4.87,2.53,3.36,1.91,2.78,3.92,2.95,5.29,3.39,6.88,6.2,2.31,4.63,3.52,1.56,,,,,,
March,,,,,,,0.09,2.3,1.89,4.95,2.84,4.95,4.91,1.76,4.91,1.61,1.61,1.88,5.13,0.98,1.09,3.26,3.07,3.04,,,,,,
April,,,,,,,1.38,2.53,2.03,4.02,1.36,0.84,3.62,4.32,1.99,1.13,1.67,5.31,4.73,1.48,1.29,5.52,1.01,0.34,,,,,,
May,,,,,,,3.8,2.44,3.21,0.27,2.27,1.06,5.69,3.85,1.72,5.05,1.81,3.41,3.26,1.54,3.72,1.43,4.41,3.91,,,,,,
June,,,,,,,4.51,3.53,3.28,1.87,4.23,3.22,5.92,3.63,2.99,0.83,2.49,2.72,1.35,2.38,2.49,3.16,10.75,2.87,,,,,,
July,,,,,,,2.54,1.8,4.47,2.62,1.64,7.3,5.67,0.48,4.07,3.5,5.31,5.97,0.45,2.09,3.71,5.82,6.3,7.13,,,,,,
August,,,,,,,4.44,1.8,2.28,2.71,3.6,7.55,4.69,4.38,1.33,7.02,4.5,4.46,6.39,1.42,1.25,4.82,4.86,5.69,,,,,,
September,,,,,,,3.07,3.06,1.6,3.71,1.22,5.07,3.52,4.93,5.63,1.22,6.29,4.23,3.63,7.08,4.37,2.12,9.96,6.16,,,,,,
October,,,,,,,1.31,2.38,4.8,3.76,4.81,4.18,9.32,5.21,5.72,4.18,2.58,4.81,4.79,2.24,4.77,3,3.03,8.09,,,,,,
November,,,,,,,1.25,2.56,2.86,3.22,1.83,6.31,2.84,3.72,3.31,3.38,4.82,1.55,4.11,5.32,2.53,3.57,5.64,3.01,,,,,,
December,,,,,,,3.98,3.7,2.59,3.17,2.48,2.96,6.52,6.28,2.8,3.52,6.19,3.5,6.54,7.02,3.2,4.59,6.63,3.52,,,,,,
Total,,,,,,,,29.88,32.98,39.35,33,50.04,60.67,49.32,41.71,38.04,49.32,45.41,55.11,42.1,36.17,45.69,65.38,52.45,,,,,,
