ALDEBURGH-COB-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM449573,Long,1.5791414,Lat,52.159607,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,1.46,2.5,0.86,1.64,1.24,2.51,2.71,3.89,2.11,4.21,1.75,2.34,,3.33,1.5,,,,,,
February,,,,,,,,,,,0.94,2.11,0.45,0.61,0.27,2.06,2.12,2.91,0.59,0.71,1.19,1.75,,0.49,1.36,,,,,,
March,,,,,,,,,,,1,0.23,1.12,1.13,1.8,0.55,0.47,1.81,0.31,2.12,2.82,,2.34,0.34,0.25,,,,,,
April,,,,,,,,,,,1.67,2.93,2.04,0.96,1.86,1.72,0.96,2.06,0.81,2.32,1.1,1,0.65,0.69,1.67,,,,,,
May,,,,,,,,,,,1.88,2.45,3.01,1.62,1.85,1.44,0.42,3.16,2.62,0.76,0.08,1.76,1.76,0.89,0.59,,,,,,
June,,,,,,,,,,,0.95,0.51,0.29,2.04,0.98,2.04,1.15,1.06,0.82,1.27,0.35,0.31,0.56,1.65,1.48,,,,,,
July,,,,,,,,,,,3.56,2.34,2.5,1.37,2.39,0.53,2.52,1.01,2.08,1.02,3.61,2.36,2.3,1.28,1.33,,,,,,
August,,,,,,,,,,,2.58,2.24,0.81,1.49,1.88,1.4,0.84,1.16,0.28,1.44,0.34,3.82,0.94,1.07,1.08,,,,,,
September,,,,,,,,,,,4.74,1.29,1.04,4.66,1.31,3.78,1.92,3.37,2.27,0.66,0.6,0.24,2.14,3.34,2.57,,,,,,
October,,,,,,,,,,,0.91,0.6,3.49,2.1,1.44,2.29,2.12,1.86,2.79,8.02,2.29,2.13,3.72,1.55,4.18,,,,,,
November,,,,,,,,,,,2.95,1.17,1.03,3.57,1.37,3.75,1.9,1.13,2.02,4.4,5.69,1.92,3.1,2.03,3.78,,,,,,
December,,,,,,,,,,,1.54,0.58,0.24,0.53,3.4,1.59,0.7,3.48,2.62,1.43,1.44,1.39,2.48,0.73,1.68,,,,,,
Total,,,,,,,,,,,24.18,18.95,16.88,21.72,19.79,23.66,17.83,26.9,19.32,28.36,21.26,,,17.39,21.47,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Mar estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 House name changed from Sanditon to Cob House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
