TOWYN-BRONFFYNNON-OLD-GAUGE,,,,,,,,,,,
Grid ref,SH618036,Long,-4.0425562,Lat,52.61254,Elevation,180,ft.,,,
Station no,4339,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,5.8,4.27,3.93,2.87,4.04,4.27,7.24,1.52,5.92
February,,,5.02,7.41,1.08,6.3,3.43,3.45,3.4,1.49,0.7
March,,,3.7,1.58,2.14,1.45,1.09,4.03,2,1.1,2.1
April,,,2.69,4.4,2.84,2.55,1.52,1.77,1.32,1.28,2.24
May,,2.57,1.9,3.58,6.24,4.44,2.68,1.72,1.17,3.31,2.07
June,,0.54,1.94,2.11,3.23,0.07,2.68,5.42,5.8,3.32,2.43
July,,2.15,4.77,4.32,5.61,2.57,5.95,4.93,4.23,3.01,4.24
August,,7.58,5.42,4.67,5.72,5.92,4.24,6.69,6.42,4.09,6.07
September,,2.22,4.99,5.67,6.35,4.72,3.01,5.13,2.38,2.62,4.4
October,,4.32,1.07,8.93,4.96,4.47,3.7,4.05,7.02,8.75,6.02
November,,3.18,2.59,5.16,2.33,2.45,6.51,4.34,6.7,9.79,5.23
December,,4.76,4.43,4.29,5.96,3.24,1.57,1.75,3.5,6.56,7.95
Total,,,44.32,56.39,50.39,41.05,40.42,47.55,51.18,46.84,49.37
,,,,,,,,,,,
NOTES,,,,,,,,,,,
NGR is from 1950s record and is Bronffynnon. Altitudes match,,,,,,,,,,,
Comment on records that the readings are too low because an incorrectly graduated measure was used and suggests thay should be increased by 2%. These readings are as recorded with no adjustment.,,,,,,,,,,,
