LONG SUTTON - WHITE HOUSE FARM,,,,,,,,,,,,,
Grid ref,TF455266,Long,0.158,Lat,52.817,Elevation,10,ft,,,,,
Station no,2525/3/5,,,,,,,,,,,,
,,,,,,,,,,,,,
,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951
January,3.99,1.63,2.34,2.17,4.21,2.13,,1.51,1.42,3.69,1.22,0.99,2.16
February,0.48,2.02,2.69,1.00,0.38,1.37,,,,0.82,0.59,3.76,2.54
March,1.50,1.91,3.27,1.07,0.74,0.26,,,3.28,0.43,0.82,0.35,3.31
April,1.60,2.84,0.60,0.79,0.82,2.28,,,1.67,0.75,1.96,1.62,2.22
May,0.62,1.50,2.28,2.84,2.36,0.83,1.22,1.37,0.18,3.32,1.95,1.94,2.67
June,2.37,0.76,0.60,0.89,1.85,2.12,,,3.20,2.55,0.81,2.12,0.88
July,1.98,2.14,4.17,2.87,1.50,1.65,1.47,,1.32,1.28,1.43,2.85,1.07
August,2.08,2.03,3.81,2.43,1.29,2.14,1.98,,0.00,3.83,2.19,2.06,4.07
September,1.04,0.51,1.21,1.31,1.62,3.73,1.64,2.61,0.85,2.29,0.21,2.72,1.37
October,3.08,1.69,2.99,2.22,0.84,3.00,1.99,3.10,0.31,2.26,3.06,0.89,0.74
November,3.40,4.88,3.73,2.55,1.51,2.54,0.91,3.73,,1.26,2.33,3.63,2.92
December,1.59,1.30,0.90,1.51,0.79,1.25,2.25,1.80,1.48,1.85,1.19,1.19,1.26
Total,23.73,23.21,28.59,21.65,17.91,23.30,,,,24.33,17.76,24.12,25.21
,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/072,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/158,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/155,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Readings for January-April and June 1945 are estimates and have been omitted.,,,,,,,,,,,,,
# Readings for February-April and June-August 1946 are estimates and have been omitted.,,,,,,,,,,,,,
# Readings for February and November 1947 are estimates and have been omitted.,,,,,,,,,,,,,
