BEACONSFIELD-GERRARDS-CROSS,,,,,,,,,,
Grid ref,TQ004892,Long,-0.55204,Lat,51.592713,Elevation,286,ft,,
Station no,RR8144,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,0.61,2.61,3.05,1.22,4.29,,,
February,,,1.33,0.91,3.03,0.63,2.13,,,
March,,,1.54,3.3,1.3,3.62,1.39,,,
April,,,0.91,2.31,1.21,1.76,0.59,,,
May,,,2.01,4.14,2.94,1.01,2.2,,,
June,,,3.46,5.81,0.86,4.16,2.57,,,
July,,,1.14,4.62,3.96,1.7,0.21,,,
August,,,4,3.34,2.09,2.46,1.1,,,
September,,,0.7,2.21,1.56,1.72,1.33,,,
October,,,1.52,7.78,1.76,1.59,,,,
November,,,2.24,1.7,1.81,2.64,,,,
December,,,1.49,2.27,2.24,1.05,,,,
Total,,,20.95,41,25.81,23.56,,,,
