"MORTLAKE, HAMMERSMITH CEMETERY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,163,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,1.88,2.20,0.93,2.64,
February,,,,,,,,2.40,1.48,0.40,0.62,
March,,,,,,,,2.08,1.70,0.02,1.54,
April,,,,,,,,1.64,1.38,1.07,1.61,
May,,,,,,,,1.10,1.75,1.11,3.10,
June,,,,,,,,2.91,2.18,1.00,1.02,
July,,,,,,,,2.50,2.07,2.48,1.97,
August,,,,,,,,3.29,2.23,2.11,2.65,
September,,,,,,,,4.16,0.90,0.18,2.43,
October,,,,,,,,1.06,3.48,2.66,0.85,
November,,,,,,,,1.94,1.72,4.98,3.93,
December,,,,,,,,3.02,2.28,4.35,1.77,
Total,,,,,,,,27.98,23.37,21.29,24.13,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.98,23.37,21.29,24.13,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,
