"ABERDEEN (MANNOFIELD RES.)",,,,,,,,,,,,
Grid ref,NJ915042,Long,-2.142038,Lat,57.128642,,,,,,,
Station no,5642,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.32,2.35,0.91,0.89,1.14,3.61,2.78,3.43,1.75,3.36,,
February,3.36,1.07,1.01,2.46,2.77,1.46,2.26,2.56,0.19,2.62,,
March,3.04,4.13,0.30,2.31,1.81,1.30,2.25,4.08,1.19,1.35,,
April,2.80,1.41,2.50,1.68,0.81,1.35,1.21,1.45,2.46,1.70,,
May,1.46,2.45,2.32,4.06,3.44,0.35,1.06,3.37,1.57,0.82,,
June,1.65,2.70,2.54,2.15,1.25,1.37,2.02,1.78,2.28,1.64,,
July,4.91,1.74,3.87,2.98,1.21,4.83,7.04,5.68,1.64,3.53,,
August,4.33,3.99,2.65,2.96,0.42,3.27,4.27,3.10,0.49,4.08,,
September,1.29,1.43,4.18,1.57,1.88,4.87,1.70,2.72,0.61,2.93,,
October,0.75,2.95,1.64,4.98,4.49,2.51,1.08,1.69,3.69,7.74,,
November,7.55,3.25,2.28,5.11,2.49,1.46,1.41,0.54,4.31,5.14,,
December,1.87,2.24,3.18,3.48,4.66,3.58,3.17,5.16,4.12,2.50,,
Total,37.33,29.71,27.38,34.63,26.37,29.96,30.25,35.56,24.30,37.41,,
Calc annual,37.33,29.71,27.38,34.63,26.37,29.96,30.25,35.56,24.30,37.41,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
